group,function,value,sample_time_nanos,iteration_count
decode_bench,base64,4096,970553.0,447
decode_bench,base64,4096,1974455.0,894
decode_bench,base64,4096,2999268.0,1341
decode_bench,base64,4096,3917113.0,1788
decode_bench,base64,4096,4911451.0,2235
decode_bench,base64,4096,5889308.0,2682
decode_bench,base64,4096,6889020.0,3129
decode_bench,base64,4096,7851987.0,3576
decode_bench,base64,4096,8843133.0,4023
decode_bench,base64,4096,9848950.0,4470
decode_bench,base64,4096,10913329.0,4917
decode_bench,base64,4096,11719401.0,5364
decode_bench,base64,4096,12771254.0,5811
decode_bench,base64,4096,13773702.0,6258
decode_bench,base64,4096,14794353.0,6705
decode_bench,base64,4096,15731792.0,7152
decode_bench,base64,4096,16737411.0,7599
decode_bench,base64,4096,17720878.0,8046
decode_bench,base64,4096,18663618.0,8493
decode_bench,base64,4096,19753686.0,8940
decode_bench,base64,4096,23240010.0,9387
decode_bench,base64,4096,21781471.0,9834
decode_bench,base64,4096,22652493.0,10281
decode_bench,base64,4096,24437063.0,10728
decode_bench,base64,4096,24740226.0,11175
decode_bench,base64,4096,25929948.0,11622
decode_bench,base64,4096,26563185.0,12069
decode_bench,base64,4096,27610924.0,12516
decode_bench,base64,4096,28566660.0,12963
decode_bench,base64,4096,29509634.0,13410
decode_bench,base64,4096,30565840.0,13857
decode_bench,base64,4096,31517736.0,14304
decode_bench,base64,4096,32505020.0,14751
decode_bench,base64,4096,33474590.0,15198
decode_bench,base64,4096,34421493.0,15645
decode_bench,base64,4096,37189169.0,16092
decode_bench,base64,4096,36433968.0,16539
decode_bench,base64,4096,37379177.0,16986
decode_bench,base64,4096,38373080.0,17433
decode_bench,base64,4096,39511152.0,17880
decode_bench,base64,4096,41067140.0,18327
decode_bench,base64,4096,41393132.0,18774
decode_bench,base64,4096,42654834.0,19221
decode_bench,base64,4096,43928357.0,19668
decode_bench,base64,4096,44594149.0,20115
decode_bench,base64,4096,45556022.0,20562
decode_bench,base64,4096,46824728.0,21009
decode_bench,base64,4096,47433111.0,21456
decode_bench,base64,4096,49195142.0,21903
decode_bench,base64,4096,51671423.0,22350
decode_bench,base64,4096,51468043.0,22797
decode_bench,base64,4096,52421738.0,23244
decode_bench,base64,4096,53441986.0,23691
decode_bench,base64,4096,54727245.0,24138
decode_bench,base64,4096,55470636.0,24585
decode_bench,base64,4096,56275875.0,25032
decode_bench,base64,4096,58399746.0,25479
decode_bench,base64,4096,57100010.0,25926
decode_bench,base64,4096,58054181.0,26373
decode_bench,base64,4096,59134260.0,26820
decode_bench,base64,4096,60097322.0,27267
decode_bench,base64,4096,61072095.0,27714
decode_bench,base64,4096,62106358.0,28161
decode_bench,base64,4096,62955832.0,28608
decode_bench,base64,4096,63926632.0,29055
decode_bench,base64,4096,64969750.0,29502
decode_bench,base64,4096,68049050.0,29949
decode_bench,base64,4096,67387860.0,30396
decode_bench,base64,4096,68853431.0,30843
decode_bench,base64,4096,69059215.0,31290
decode_bench,base64,4096,69997297.0,31737
decode_bench,base64,4096,71112088.0,32184
decode_bench,base64,4096,72030623.0,32631
decode_bench,base64,4096,72934588.0,33078
decode_bench,base64,4096,74062909.0,33525
decode_bench,base64,4096,74809407.0,33972
decode_bench,base64,4096,75901231.0,34419
decode_bench,base64,4096,76985639.0,34866
decode_bench,base64,4096,77809669.0,35313
decode_bench,base64,4096,78776946.0,35760
decode_bench,base64,4096,90238056.0,36207
decode_bench,base64,4096,80798100.0,36654
decode_bench,base64,4096,82472372.0,37101
decode_bench,base64,4096,83026363.0,37548
decode_bench,base64,4096,83992029.0,37995
decode_bench,base64,4096,85025293.0,38442
decode_bench,base64,4096,86136891.0,38889
decode_bench,base64,4096,87093881.0,39336
decode_bench,base64,4096,88093153.0,39783
decode_bench,base64,4096,89082606.0,40230
decode_bench,base64,4096,90184119.0,40677
decode_bench,base64,4096,99646939.0,41124
decode_bench,base64,4096,91341852.0,41571
decode_bench,base64,4096,92675736.0,42018
decode_bench,base64,4096,93571983.0,42465
decode_bench,base64,4096,94671329.0,42912
decode_bench,base64,4096,95712248.0,43359
decode_bench,base64,4096,96581205.0,43806
decode_bench,base64,4096,97797404.0,44253
decode_bench,base64,4096,98695430.0,44700
