group,function,value,sample_time_nanos,iteration_count
decode_reader_bench,radix64,8192,1033721.0,231
decode_reader_bench,radix64,8192,2007941.0,462
decode_reader_bench,radix64,8192,2950490.0,693
decode_reader_bench,radix64,8192,3957823.0,924
decode_reader_bench,radix64,8192,4940644.0,1155
decode_reader_bench,radix64,8192,5858526.0,1386
decode_reader_bench,radix64,8192,6881083.0,1617
decode_reader_bench,radix64,8192,7947565.0,1848
decode_reader_bench,radix64,8192,8830854.0,2079
decode_reader_bench,radix64,8192,9914093.0,2310
decode_reader_bench,radix64,8192,10984688.0,2541
decode_reader_bench,radix64,8192,11856928.0,2772
decode_reader_bench,radix64,8192,12940931.0,3003
decode_reader_bench,radix64,8192,13920373.0,3234
decode_reader_bench,radix64,8192,15802931.0,3465
decode_reader_bench,radix64,8192,16805978.0,3696
decode_reader_bench,radix64,8192,16796382.0,3927
decode_reader_bench,radix64,8192,17949966.0,4158
decode_reader_bench,radix64,8192,18842164.0,4389
decode_reader_bench,radix64,8192,19796320.0,4620
decode_reader_bench,radix64,8192,20880771.0,4851
decode_reader_bench,radix64,8192,21745783.0,5082
decode_reader_bench,radix64,8192,22821103.0,5313
decode_reader_bench,radix64,8192,23711357.0,5544
decode_reader_bench,radix64,8192,24717599.0,5775
decode_reader_bench,radix64,8192,25731734.0,6006
decode_reader_bench,radix64,8192,26666775.0,6237
decode_reader_bench,radix64,8192,27767257.0,6468
decode_reader_bench,radix64,8192,28625709.0,6699
decode_reader_bench,radix64,8192,29570779.0,6930
decode_reader_bench,radix64,8192,30549848.0,7161
decode_reader_bench,radix64,8192,31802562.0,7392
decode_reader_bench,radix64,8192,32669664.0,7623
decode_reader_bench,radix64,8192,33600251.0,7854
decode_reader_bench,radix64,8192,34650497.0,8085
decode_reader_bench,radix64,8192,35649215.0,8316
decode_reader_bench,radix64,8192,36501225.0,8547
decode_reader_bench,radix64,8192,37657321.0,8778
decode_reader_bench,radix64,8192,38528781.0,9009
decode_reader_bench,radix64,8192,39573185.0,9240
decode_reader_bench,radix64,8192,40462880.0,9471
decode_reader_bench,radix64,8192,41466641.0,9702
decode_reader_bench,radix64,8192,42397354.0,9933
decode_reader_bench,radix64,8192,43325775.0,10164
decode_reader_bench,radix64,8192,44483632.0,10395
decode_reader_bench,radix64,8192,45442633.0,10626
decode_reader_bench,radix64,8192,46567046.0,10857
decode_reader_bench,radix64,8192,48921171.0,11088
decode_reader_bench,radix64,8192,48529817.0,11319
decode_reader_bench,radix64,8192,49295441.0,11550
decode_reader_bench,radix64,8192,50362334.0,11781
decode_reader_bench,radix64,8192,51627903.0,12012
decode_reader_bench,radix64,8192,52479788.0,12243
decode_reader_bench,radix64,8192,53460148.0,12474
decode_reader_bench,radix64,8192,54427020.0,12705
decode_reader_bench,radix64,8192,55385705.0,12936
decode_reader_bench,radix64,8192,56515099.0,13167
decode_reader_bench,radix64,8192,57387314.0,13398
decode_reader_bench,radix64,8192,58895524.0,13629
decode_reader_bench,radix64,8192,59697667.0,13860
decode_reader_bench,radix64,8192,60423606.0,14091
decode_reader_bench,radix64,8192,61304947.0,14322
decode_reader_bench,radix64,8192,62402772.0,14553
decode_reader_bench,radix64,8192,63959851.0,14784
decode_reader_bench,radix64,8192,65405847.0,15015
decode_reader_bench,radix64,8192,65499962.0,15246
decode_reader_bench,radix64,8192,66829966.0,15477
decode_reader_bench,radix64,8192,67242260.0,15708
decode_reader_bench,radix64,8192,68364451.0,15939
decode_reader_bench,radix64,8192,69138336.0,16170
decode_reader_bench,radix64,8192,70216516.0,16401
decode_reader_bench,radix64,8192,71555193.0,16632
decode_reader_bench,radix64,8192,72498776.0,16863
decode_reader_bench,radix64,8192,73265319.0,17094
decode_reader_bench,radix64,8192,74760163.0,17325
decode_reader_bench,radix64,8192,75335279.0,17556
decode_reader_bench,radix64,8192,76040272.0,17787
decode_reader_bench,radix64,8192,77102405.0,18018
decode_reader_bench,radix64,8192,79242095.0,18249
decode_reader_bench,radix64,8192,79132339.0,18480
decode_reader_bench,radix64,8192,85442881.0,18711
decode_reader_bench,radix64,8192,81777795.0,18942
decode_reader_bench,radix64,8192,82187552.0,19173
decode_reader_bench,radix64,8192,82996711.0,19404
decode_reader_bench,radix64,8192,84001080.0,19635
decode_reader_bench,radix64,8192,84854911.0,19866
decode_reader_bench,radix64,8192,86014724.0,20097
decode_reader_bench,radix64,8192,87317948.0,20328
decode_reader_bench,radix64,8192,88020056.0,20559
decode_reader_bench,radix64,8192,89229221.0,20790
decode_reader_bench,radix64,8192,91541235.0,21021
decode_reader_bench,radix64,8192,91446375.0,21252
decode_reader_bench,radix64,8192,92256501.0,21483
decode_reader_bench,radix64,8192,93135641.0,21714
decode_reader_bench,radix64,8192,93669771.0,21945
decode_reader_bench,radix64,8192,95384942.0,22176
decode_reader_bench,radix64,8192,96117955.0,22407
decode_reader_bench,radix64,8192,96956486.0,22638
decode_reader_bench,radix64,8192,97728318.0,22869
decode_reader_bench,radix64,8192,98922788.0,23100
