group,function,value,sample_time_nanos,iteration_count
decode_with_buffer_bench,base64,128,960317.0,10708
decode_with_buffer_bench,base64,128,1920716.0,21416
decode_with_buffer_bench,base64,128,2924950.0,32124
decode_with_buffer_bench,base64,128,3849707.0,42832
decode_with_buffer_bench,base64,128,4836493.0,53540
decode_with_buffer_bench,base64,128,5793847.0,64248
decode_with_buffer_bench,base64,128,6730840.0,74956
decode_with_buffer_bench,base64,128,7773759.0,85664
decode_with_buffer_bench,base64,128,8674523.0,96372
decode_with_buffer_bench,base64,128,9627837.0,107080
decode_with_buffer_bench,base64,128,10594561.0,117788
decode_with_buffer_bench,base64,128,11556404.0,128496
decode_with_buffer_bench,base64,128,16645088.0,139204
decode_with_buffer_bench,base64,128,13511633.0,149912
decode_with_buffer_bench,base64,128,14461054.0,160620
decode_with_buffer_bench,base64,128,15494544.0,171328
decode_with_buffer_bench,base64,128,16352339.0,182036
decode_with_buffer_bench,base64,128,17325884.0,192744
decode_with_buffer_bench,base64,128,22316409.0,203452
decode_with_buffer_bench,base64,128,19220427.0,214160
decode_with_buffer_bench,base64,128,20169784.0,224868
decode_with_buffer_bench,base64,128,21314271.0,235576
decode_with_buffer_bench,base64,128,22143771.0,246284
decode_with_buffer_bench,base64,128,23387041.0,256992
decode_with_buffer_bench,base64,128,24122101.0,267700
decode_with_buffer_bench,base64,128,25262962.0,278408
decode_with_buffer_bench,base64,128,26073623.0,289116
decode_with_buffer_bench,base64,128,27231196.0,299824
decode_with_buffer_bench,base64,128,27997131.0,310532
decode_with_buffer_bench,base64,128,29032969.0,321240
decode_with_buffer_bench,base64,128,30005934.0,331948
decode_with_buffer_bench,base64,128,31574211.0,342656
decode_with_buffer_bench,base64,128,32053024.0,353364
decode_with_buffer_bench,base64,128,34589838.0,364072
decode_with_buffer_bench,base64,128,33816933.0,374780
decode_with_buffer_bench,base64,128,34656749.0,385488
decode_with_buffer_bench,base64,128,35501295.0,396196
decode_with_buffer_bench,base64,128,36605361.0,406904
decode_with_buffer_bench,base64,128,37674908.0,417612
decode_with_buffer_bench,base64,128,39687857.0,428320
decode_with_buffer_bench,base64,128,39591742.0,439028
decode_with_buffer_bench,base64,128,42970717.0,449736
decode_with_buffer_bench,base64,128,48782454.0,460444
decode_with_buffer_bench,base64,128,42375372.0,471152
decode_with_buffer_bench,base64,128,43605367.0,481860
decode_with_buffer_bench,base64,128,44358212.0,492568
decode_with_buffer_bench,base64,128,45233313.0,503276
decode_with_buffer_bench,base64,128,46510008.0,513984
decode_with_buffer_bench,base64,128,47336576.0,524692
decode_with_buffer_bench,base64,128,51012328.0,535400
decode_with_buffer_bench,base64,128,49357219.0,546108
decode_with_buffer_bench,base64,128,50154686.0,556816
decode_with_buffer_bench,base64,128,50994370.0,567524
decode_with_buffer_bench,base64,128,53253599.0,578232
decode_with_buffer_bench,base64,128,52978618.0,588940
decode_with_buffer_bench,base64,128,54003784.0,599648
decode_with_buffer_bench,base64,128,55889274.0,610356
decode_with_buffer_bench,base64,128,55893841.0,621064
decode_with_buffer_bench,base64,128,56616912.0,631772
decode_with_buffer_bench,base64,128,58008035.0,642480
decode_with_buffer_bench,base64,128,58844892.0,653188
decode_with_buffer_bench,base64,128,59741351.0,663896
decode_with_buffer_bench,base64,128,60757712.0,674604
decode_with_buffer_bench,base64,128,61702522.0,685312
decode_with_buffer_bench,base64,128,62646727.0,696020
decode_with_buffer_bench,base64,128,63750260.0,706728
decode_with_buffer_bench,base64,128,64526945.0,717436
decode_with_buffer_bench,base64,128,65591955.0,728144
decode_with_buffer_bench,base64,128,66548985.0,738852
decode_with_buffer_bench,base64,128,67414361.0,749560
decode_with_buffer_bench,base64,128,68418690.0,760268
decode_with_buffer_bench,base64,128,69516824.0,770976
decode_with_buffer_bench,base64,128,71796041.0,781684
decode_with_buffer_bench,base64,128,71095921.0,792392
decode_with_buffer_bench,base64,128,72242701.0,803100
decode_with_buffer_bench,base64,128,73093016.0,813808
decode_with_buffer_bench,base64,128,74214721.0,824516
decode_with_buffer_bench,base64,128,74992958.0,835224
decode_with_buffer_bench,base64,128,76251537.0,845932
decode_with_buffer_bench,base64,128,77015977.0,856640
decode_with_buffer_bench,base64,128,78522754.0,867348
decode_with_buffer_bench,base64,128,79127181.0,878056
decode_with_buffer_bench,base64,128,79998835.0,888764
decode_with_buffer_bench,base64,128,80945608.0,899472
decode_with_buffer_bench,base64,128,81941102.0,910180
decode_with_buffer_bench,base64,128,83986332.0,920888
decode_with_buffer_bench,base64,128,83783499.0,931596
decode_with_buffer_bench,base64,128,84688658.0,942304
decode_with_buffer_bench,base64,128,85462201.0,953012
decode_with_buffer_bench,base64,128,86440409.0,963720
decode_with_buffer_bench,base64,128,87660256.0,974428
decode_with_buffer_bench,base64,128,88344030.0,985136
decode_with_buffer_bench,base64,128,89685080.0,995844
decode_with_buffer_bench,base64,128,90470042.0,1006552
decode_with_buffer_bench,base64,128,91494747.0,1017260
decode_with_buffer_bench,base64,128,92198923.0,1027968
decode_with_buffer_bench,base64,128,94217779.0,1038676
decode_with_buffer_bench,base64,128,94418899.0,1049384
decode_with_buffer_bench,base64,128,95698119.0,1060092
decode_with_buffer_bench,base64,128,96295053.0,1070800
