group,function,value,sample_time_nanos,iteration_count
decode_with_buffer_bench,base64,32,981711.0,23403
decode_with_buffer_bench,base64,32,2014489.0,46806
decode_with_buffer_bench,base64,32,2945504.0,70209
decode_with_buffer_bench,base64,32,3931300.0,93612
decode_with_buffer_bench,base64,32,4905286.0,117015
decode_with_buffer_bench,base64,32,5919566.0,140418
decode_with_buffer_bench,base64,32,6899920.0,163821
decode_with_buffer_bench,base64,32,7888842.0,187224
decode_with_buffer_bench,base64,32,8829324.0,210627
decode_with_buffer_bench,base64,32,9904389.0,234030
decode_with_buffer_bench,base64,32,10834386.0,257433
decode_with_buffer_bench,base64,32,11792410.0,280836
decode_with_buffer_bench,base64,32,12822905.0,304239
decode_with_buffer_bench,base64,32,13853459.0,327642
decode_with_buffer_bench,base64,32,14808384.0,351045
decode_with_buffer_bench,base64,32,15794688.0,374448
decode_with_buffer_bench,base64,32,16687330.0,397851
decode_with_buffer_bench,base64,32,17678198.0,421254
decode_with_buffer_bench,base64,32,18759635.0,444657
decode_with_buffer_bench,base64,32,19757988.0,468060
decode_with_buffer_bench,base64,32,20732824.0,491463
decode_with_buffer_bench,base64,32,21683070.0,514866
decode_with_buffer_bench,base64,32,22675352.0,538269
decode_with_buffer_bench,base64,32,23620476.0,561672
decode_with_buffer_bench,base64,32,24666709.0,585075
decode_with_buffer_bench,base64,32,25574722.0,608478
decode_with_buffer_bench,base64,32,26718894.0,631881
decode_with_buffer_bench,base64,32,27595066.0,655284
decode_with_buffer_bench,base64,32,28616475.0,678687
decode_with_buffer_bench,base64,32,31446451.0,702090
decode_with_buffer_bench,base64,32,31072553.0,725493
decode_with_buffer_bench,base64,32,31939430.0,748896
decode_with_buffer_bench,base64,32,32919192.0,772299
decode_with_buffer_bench,base64,32,33873949.0,795702
decode_with_buffer_bench,base64,32,34752601.0,819105
decode_with_buffer_bench,base64,32,35940245.0,842508
decode_with_buffer_bench,base64,32,36852444.0,865911
decode_with_buffer_bench,base64,32,37930757.0,889314
decode_with_buffer_bench,base64,32,38757017.0,912717
decode_with_buffer_bench,base64,32,39897434.0,936120
decode_with_buffer_bench,base64,32,41219162.0,959523
decode_with_buffer_bench,base64,32,41818597.0,982926
decode_with_buffer_bench,base64,32,43869625.0,1006329
decode_with_buffer_bench,base64,32,43644765.0,1029732
decode_with_buffer_bench,base64,32,44231344.0,1053135
decode_with_buffer_bench,base64,32,45361373.0,1076538
decode_with_buffer_bench,base64,32,46384664.0,1099941
decode_with_buffer_bench,base64,32,47769156.0,1123344
decode_with_buffer_bench,base64,32,48334645.0,1146747
decode_with_buffer_bench,base64,32,49416596.0,1170150
decode_with_buffer_bench,base64,32,50210693.0,1193553
decode_with_buffer_bench,base64,32,51276554.0,1216956
decode_with_buffer_bench,base64,32,52183220.0,1240359
decode_with_buffer_bench,base64,32,53265661.0,1263762
decode_with_buffer_bench,base64,32,54254662.0,1287165
decode_with_buffer_bench,base64,32,55048429.0,1310568
decode_with_buffer_bench,base64,32,56161169.0,1333971
decode_with_buffer_bench,base64,32,57278309.0,1357374
decode_with_buffer_bench,base64,32,58255645.0,1380777
decode_with_buffer_bench,base64,32,59514579.0,1404180
decode_with_buffer_bench,base64,32,60204713.0,1427583
decode_with_buffer_bench,base64,32,64518469.0,1450986
decode_with_buffer_bench,base64,32,61948233.0,1474389
decode_with_buffer_bench,base64,32,62933887.0,1497792
decode_with_buffer_bench,base64,32,64008155.0,1521195
decode_with_buffer_bench,base64,32,65248513.0,1544598
decode_with_buffer_bench,base64,32,65862090.0,1568001
decode_with_buffer_bench,base64,32,67065552.0,1591404
decode_with_buffer_bench,base64,32,67958880.0,1614807
decode_with_buffer_bench,base64,32,68992894.0,1638210
decode_with_buffer_bench,base64,32,73454139.0,1661613
decode_with_buffer_bench,base64,32,70874795.0,1685016
decode_with_buffer_bench,base64,32,71926187.0,1708419
decode_with_buffer_bench,base64,32,73018564.0,1731822
decode_with_buffer_bench,base64,32,74065716.0,1755225
decode_with_buffer_bench,base64,32,75007944.0,1778628
decode_with_buffer_bench,base64,32,80311830.0,1802031
decode_with_buffer_bench,base64,32,78116726.0,1825434
decode_with_buffer_bench,base64,32,79194851.0,1848837
decode_with_buffer_bench,base64,32,80838148.0,1872240
decode_with_buffer_bench,base64,32,81151529.0,1895643
decode_with_buffer_bench,base64,32,82896751.0,1919046
decode_with_buffer_bench,base64,32,82582183.0,1942449
decode_with_buffer_bench,base64,32,86970348.0,1965852
decode_with_buffer_bench,base64,32,85541721.0,1989255
decode_with_buffer_bench,base64,32,85962784.0,2012658
decode_with_buffer_bench,base64,32,86956298.0,2036061
decode_with_buffer_bench,base64,32,90027457.0,2059464
decode_with_buffer_bench,base64,32,91666760.0,2082867
decode_with_buffer_bench,base64,32,90617034.0,2106270
decode_with_buffer_bench,base64,32,91212853.0,2129673
decode_with_buffer_bench,base64,32,94092000.0,2153076
decode_with_buffer_bench,base64,32,93050582.0,2176479
decode_with_buffer_bench,base64,32,94339389.0,2199882
decode_with_buffer_bench,base64,32,95103663.0,2223285
decode_with_buffer_bench,base64,32,99049547.0,2246688
decode_with_buffer_bench,base64,32,97767383.0,2270091
decode_with_buffer_bench,base64,32,98513097.0,2293494
decode_with_buffer_bench,base64,32,100173443.0,2316897
decode_with_buffer_bench,base64,32,99362578.0,2340300
