group,function,value,sample_time_nanos,iteration_count
decode_with_buffer_bench,radix64,32,972817.0,34369
decode_with_buffer_bench,radix64,32,1946044.0,68738
decode_with_buffer_bench,radix64,32,2937236.0,103107
decode_with_buffer_bench,radix64,32,3835216.0,137476
decode_with_buffer_bench,radix64,32,4942117.0,171845
decode_with_buffer_bench,radix64,32,5867322.0,206214
decode_with_buffer_bench,radix64,32,6912979.0,240583
decode_with_buffer_bench,radix64,32,7868100.0,274952
decode_with_buffer_bench,radix64,32,8728119.0,309321
decode_with_buffer_bench,radix64,32,9822780.0,343690
decode_with_buffer_bench,radix64,32,10681364.0,378059
decode_with_buffer_bench,radix64,32,11755582.0,412428
decode_with_buffer_bench,radix64,32,12800881.0,446797
decode_with_buffer_bench,radix64,32,13661375.0,481166
decode_with_buffer_bench,radix64,32,14659474.0,515535
decode_with_buffer_bench,radix64,32,15582679.0,549904
decode_with_buffer_bench,radix64,32,16648235.0,584273
decode_with_buffer_bench,radix64,32,17589848.0,618642
decode_with_buffer_bench,radix64,32,18593496.0,653011
decode_with_buffer_bench,radix64,32,19516032.0,687380
decode_with_buffer_bench,radix64,32,20535201.0,721749
decode_with_buffer_bench,radix64,32,21502604.0,756118
decode_with_buffer_bench,radix64,32,22423973.0,790487
decode_with_buffer_bench,radix64,32,23493156.0,824856
decode_with_buffer_bench,radix64,32,24507066.0,859225
decode_with_buffer_bench,radix64,32,25344058.0,893594
decode_with_buffer_bench,radix64,32,26382395.0,927963
decode_with_buffer_bench,radix64,32,27557413.0,962332
decode_with_buffer_bench,radix64,32,28249302.0,996701
decode_with_buffer_bench,radix64,32,29343004.0,1031070
decode_with_buffer_bench,radix64,32,30328234.0,1065439
decode_with_buffer_bench,radix64,32,31239373.0,1099808
decode_with_buffer_bench,radix64,32,32221770.0,1134177
decode_with_buffer_bench,radix64,32,33160435.0,1168546
decode_with_buffer_bench,radix64,32,34236672.0,1202915
decode_with_buffer_bench,radix64,32,35117972.0,1237284
decode_with_buffer_bench,radix64,32,38179408.0,1271653
decode_with_buffer_bench,radix64,32,37560123.0,1306022
decode_with_buffer_bench,radix64,32,38294594.0,1340391
decode_with_buffer_bench,radix64,32,39281794.0,1374760
decode_with_buffer_bench,radix64,32,40080612.0,1409129
decode_with_buffer_bench,radix64,32,41203499.0,1443498
decode_with_buffer_bench,radix64,32,42383765.0,1477867
decode_with_buffer_bench,radix64,32,44368967.0,1512236
decode_with_buffer_bench,radix64,32,44347238.0,1546605
decode_with_buffer_bench,radix64,32,45266894.0,1580974
decode_with_buffer_bench,radix64,32,46332420.0,1615343
decode_with_buffer_bench,radix64,32,47023943.0,1649712
decode_with_buffer_bench,radix64,32,48101753.0,1684081
decode_with_buffer_bench,radix64,32,48784919.0,1718450
decode_with_buffer_bench,radix64,32,49819436.0,1752819
decode_with_buffer_bench,radix64,32,50694552.0,1787188
decode_with_buffer_bench,radix64,32,51796387.0,1821557
decode_with_buffer_bench,radix64,32,52761420.0,1855926
decode_with_buffer_bench,radix64,32,54328785.0,1890295
decode_with_buffer_bench,radix64,32,55243188.0,1924664
decode_with_buffer_bench,radix64,32,56169949.0,1959033
decode_with_buffer_bench,radix64,32,57262482.0,1993402
decode_with_buffer_bench,radix64,32,65648962.0,2027771
decode_with_buffer_bench,radix64,32,60289798.0,2062140
decode_with_buffer_bench,radix64,32,60414574.0,2096509
decode_with_buffer_bench,radix64,32,62439358.0,2130878
decode_with_buffer_bench,radix64,32,62813550.0,2165247
decode_with_buffer_bench,radix64,32,63708631.0,2199616
decode_with_buffer_bench,radix64,32,64699834.0,2233985
decode_with_buffer_bench,radix64,32,64656290.0,2268354
decode_with_buffer_bench,radix64,32,65406804.0,2302723
decode_with_buffer_bench,radix64,32,67271117.0,2337092
decode_with_buffer_bench,radix64,32,68728482.0,2371461
decode_with_buffer_bench,radix64,32,69682464.0,2405830
decode_with_buffer_bench,radix64,32,70590440.0,2440199
decode_with_buffer_bench,radix64,32,71721962.0,2474568
decode_with_buffer_bench,radix64,32,73694052.0,2508937
decode_with_buffer_bench,radix64,32,78782173.0,2543306
decode_with_buffer_bench,radix64,32,73509171.0,2577675
decode_with_buffer_bench,radix64,32,75858004.0,2612044
decode_with_buffer_bench,radix64,32,76404476.0,2646413
decode_with_buffer_bench,radix64,32,79761043.0,2680782
decode_with_buffer_bench,radix64,32,82325043.0,2715151
decode_with_buffer_bench,radix64,32,81535310.0,2749520
decode_with_buffer_bench,radix64,32,79515538.0,2783889
decode_with_buffer_bench,radix64,32,81710518.0,2818258
decode_with_buffer_bench,radix64,32,81530817.0,2852627
decode_with_buffer_bench,radix64,32,84029550.0,2886996
decode_with_buffer_bench,radix64,32,84578947.0,2921365
decode_with_buffer_bench,radix64,32,86069901.0,2955734
decode_with_buffer_bench,radix64,32,87579153.0,2990103
decode_with_buffer_bench,radix64,32,86608584.0,3024472
decode_with_buffer_bench,radix64,32,88570660.0,3058841
decode_with_buffer_bench,radix64,32,87757963.0,3093210
decode_with_buffer_bench,radix64,32,89393398.0,3127579
decode_with_buffer_bench,radix64,32,90991107.0,3161948
decode_with_buffer_bench,radix64,32,91466300.0,3196317
decode_with_buffer_bench,radix64,32,92474266.0,3230686
decode_with_buffer_bench,radix64,32,93322712.0,3265055
decode_with_buffer_bench,radix64,32,93954794.0,3299424
decode_with_buffer_bench,radix64,32,97727872.0,3333793
decode_with_buffer_bench,radix64,32,96431140.0,3368162
decode_with_buffer_bench,radix64,32,96860889.0,3402531
decode_with_buffer_bench,radix64,32,98138727.0,3436900
