group,function,value,sample_time_nanos,iteration_count
display_bench,base64,32,1030996.0,15982
display_bench,base64,32,1988598.0,31964
display_bench,base64,32,2954792.0,47946
display_bench,base64,32,3948624.0,63928
display_bench,base64,32,4980437.0,79910
display_bench,base64,32,5915626.0,95892
display_bench,base64,32,6895714.0,111874
display_bench,base64,32,7968534.0,127856
display_bench,base64,32,8865848.0,143838
display_bench,base64,32,9854943.0,159820
display_bench,base64,32,10899648.0,175802
display_bench,base64,32,11848635.0,191784
display_bench,base64,32,12929826.0,207766
display_bench,base64,32,13740525.0,223748
display_bench,base64,32,14815512.0,239730
display_bench,base64,32,15815614.0,255712
display_bench,base64,32,16821838.0,271694
display_bench,base64,32,17693828.0,287676
display_bench,base64,32,18778856.0,303658
display_bench,base64,32,19619398.0,319640
display_bench,base64,32,20674862.0,335622
display_bench,base64,32,21639016.0,351604
display_bench,base64,32,22683115.0,367586
display_bench,base64,32,23629746.0,383568
display_bench,base64,32,24571120.0,399550
display_bench,base64,32,25635940.0,415532
display_bench,base64,32,26459078.0,431514
display_bench,base64,32,27435708.0,447496
display_bench,base64,32,28503825.0,463478
display_bench,base64,32,29619395.0,479460
display_bench,base64,32,30521576.0,495442
display_bench,base64,32,31551241.0,511424
display_bench,base64,32,32941301.0,527406
display_bench,base64,32,33969662.0,543388
display_bench,base64,32,34515622.0,559370
display_bench,base64,32,35493982.0,575352
display_bench,base64,32,38419899.0,591334
display_bench,base64,32,37400697.0,607316
display_bench,base64,32,38537213.0,623298
display_bench,base64,32,39252814.0,639280
display_bench,base64,32,40439438.0,655262
display_bench,base64,32,41339900.0,671244
display_bench,base64,32,42257865.0,687226
display_bench,base64,32,43350534.0,703208
display_bench,base64,32,44041972.0,719190
display_bench,base64,32,45198707.0,735172
display_bench,base64,32,46470401.0,751154
display_bench,base64,32,47202548.0,767136
display_bench,base64,32,48195021.0,783118
display_bench,base64,32,49264236.0,799100
display_bench,base64,32,50026311.0,815082
display_bench,base64,32,51242124.0,831064
display_bench,base64,32,52338429.0,847046
display_bench,base64,32,53162360.0,863028
display_bench,base64,32,54072371.0,879010
display_bench,base64,32,55183583.0,894992
display_bench,base64,32,56150762.0,910974
display_bench,base64,32,58522019.0,926956
display_bench,base64,32,57930520.0,942938
display_bench,base64,32,58936025.0,958920
display_bench,base64,32,60115192.0,974902
display_bench,base64,32,60856723.0,990884
display_bench,base64,32,62268240.0,1006866
display_bench,base64,32,62961471.0,1022848
display_bench,base64,32,64109065.0,1038830
display_bench,base64,32,65088187.0,1054812
display_bench,base64,32,65777855.0,1070794
display_bench,base64,32,66690846.0,1086776
display_bench,base64,32,67910821.0,1102758
display_bench,base64,32,68836106.0,1118740
display_bench,base64,32,69945855.0,1134722
display_bench,base64,32,70765819.0,1150704
display_bench,base64,32,71837151.0,1166686
display_bench,base64,32,77798958.0,1182668
display_bench,base64,32,74454758.0,1198650
display_bench,base64,32,75087530.0,1214632
display_bench,base64,32,75732462.0,1230614
display_bench,base64,32,76810977.0,1246596
display_bench,base64,32,77906567.0,1262578
display_bench,base64,32,78762526.0,1278560
display_bench,base64,32,79659494.0,1294542
display_bench,base64,32,80718061.0,1310524
display_bench,base64,32,81654063.0,1326506
display_bench,base64,32,82646452.0,1342488
display_bench,base64,32,83566939.0,1358470
display_bench,base64,32,88536467.0,1374452
display_bench,base64,32,85591692.0,1390434
display_bench,base64,32,86603471.0,1406416
display_bench,base64,32,87540377.0,1422398
display_bench,base64,32,88722187.0,1438380
display_bench,base64,32,89695830.0,1454362
display_bench,base64,32,90633782.0,1470344
display_bench,base64,32,91469928.0,1486326
display_bench,base64,32,93180170.0,1502308
display_bench,base64,32,93563811.0,1518290
display_bench,base64,32,94332690.0,1534272
display_bench,base64,32,97160915.0,1550254
display_bench,base64,32,96703878.0,1566236
display_bench,base64,32,98428324.0,1582218
display_bench,base64,32,98848093.0,1598200
