group,function,value,sample_time_nanos,iteration_count
encode_bench,radix64,128,995562.0,12302
encode_bench,radix64,128,1983454.0,24604
encode_bench,radix64,128,2897880.0,36906
encode_bench,radix64,128,3873380.0,49208
encode_bench,radix64,128,4901355.0,61510
encode_bench,radix64,128,5900273.0,73812
encode_bench,radix64,128,6902331.0,86114
encode_bench,radix64,128,7842751.0,98416
encode_bench,radix64,128,8783945.0,110718
encode_bench,radix64,128,9780327.0,123020
encode_bench,radix64,128,10830299.0,135322
encode_bench,radix64,128,11779028.0,147624
encode_bench,radix64,128,12721615.0,159926
encode_bench,radix64,128,13756218.0,172228
encode_bench,radix64,128,14784599.0,184530
encode_bench,radix64,128,15757340.0,196832
encode_bench,radix64,128,16735207.0,209134
encode_bench,radix64,128,17762235.0,221436
encode_bench,radix64,128,18596209.0,233738
encode_bench,radix64,128,19563615.0,246040
encode_bench,radix64,128,20642225.0,258342
encode_bench,radix64,128,21626606.0,270644
encode_bench,radix64,128,22568216.0,282946
encode_bench,radix64,128,23586899.0,295248
encode_bench,radix64,128,24486065.0,307550
encode_bench,radix64,128,25627159.0,319852
encode_bench,radix64,128,26414288.0,332154
encode_bench,radix64,128,27478308.0,344456
encode_bench,radix64,128,28523190.0,356758
encode_bench,radix64,128,29382794.0,369060
encode_bench,radix64,128,30475328.0,381362
encode_bench,radix64,128,31242424.0,393664
encode_bench,radix64,128,32475599.0,405966
encode_bench,radix64,128,33332757.0,418268
encode_bench,radix64,128,34298770.0,430570
encode_bench,radix64,128,37020663.0,442872
encode_bench,radix64,128,37345192.0,455174
encode_bench,radix64,128,37424453.0,467476
encode_bench,radix64,128,38401991.0,479778
encode_bench,radix64,128,39132627.0,492080
encode_bench,radix64,128,40315543.0,504382
encode_bench,radix64,128,41624075.0,516684
encode_bench,radix64,128,42275044.0,528986
encode_bench,radix64,128,43266608.0,541288
encode_bench,radix64,128,44249504.0,553590
encode_bench,radix64,128,45327298.0,565892
encode_bench,radix64,128,46200507.0,578194
encode_bench,radix64,128,47074860.0,590496
encode_bench,radix64,128,48066940.0,602798
encode_bench,radix64,128,49150989.0,615100
encode_bench,radix64,128,50097755.0,627402
encode_bench,radix64,128,50997098.0,639704
encode_bench,radix64,128,51966180.0,652006
encode_bench,radix64,128,53078223.0,664308
encode_bench,radix64,128,53957190.0,676610
encode_bench,radix64,128,55322978.0,688912
encode_bench,radix64,128,56001993.0,701214
encode_bench,radix64,128,58899217.0,713516
encode_bench,radix64,128,57985288.0,725818
encode_bench,radix64,128,58942508.0,738120
encode_bench,radix64,128,59886770.0,750422
encode_bench,radix64,128,61118764.0,762724
encode_bench,radix64,128,61861448.0,775026
encode_bench,radix64,128,62914826.0,787328
encode_bench,radix64,128,63843350.0,799630
encode_bench,radix64,128,65109978.0,811932
encode_bench,radix64,128,65714515.0,824234
encode_bench,radix64,128,67044439.0,836536
encode_bench,radix64,128,67967534.0,848838
encode_bench,radix64,128,68724534.0,861140
encode_bench,radix64,128,69688195.0,873442
encode_bench,radix64,128,70629518.0,885744
encode_bench,radix64,128,72834936.0,898046
encode_bench,radix64,128,73269943.0,910348
encode_bench,radix64,128,73760534.0,922650
encode_bench,radix64,128,75025203.0,934952
encode_bench,radix64,128,75717921.0,947254
encode_bench,radix64,128,76597023.0,959556
encode_bench,radix64,128,77511260.0,971858
encode_bench,radix64,128,78576598.0,984160
encode_bench,radix64,128,79465581.0,996462
encode_bench,radix64,128,80505246.0,1008764
encode_bench,radix64,128,81578766.0,1021066
encode_bench,radix64,128,82545072.0,1033368
encode_bench,radix64,128,83505233.0,1045670
encode_bench,radix64,128,86397416.0,1057972
encode_bench,radix64,128,86076690.0,1070274
encode_bench,radix64,128,86576303.0,1082576
encode_bench,radix64,128,87382036.0,1094878
encode_bench,radix64,128,88575884.0,1107180
encode_bench,radix64,128,89240095.0,1119482
encode_bench,radix64,128,90380567.0,1131784
encode_bench,radix64,128,91266502.0,1144086
encode_bench,radix64,128,92261365.0,1156388
encode_bench,radix64,128,93367507.0,1168690
encode_bench,radix64,128,94295924.0,1180992
encode_bench,radix64,128,97434633.0,1193294
encode_bench,radix64,128,96583425.0,1205596
encode_bench,radix64,128,97440773.0,1217898
encode_bench,radix64,128,98245480.0,1230200
