group,function,value,sample_time_nanos,iteration_count
encode_slice_bench,base64,3,979238.0,119397
encode_slice_bench,base64,3,1963010.0,238794
encode_slice_bench,base64,3,2928023.0,358191
encode_slice_bench,base64,3,3918106.0,477588
encode_slice_bench,base64,3,4932789.0,596985
encode_slice_bench,base64,3,5876990.0,716382
encode_slice_bench,base64,3,6882717.0,835779
encode_slice_bench,base64,3,7881876.0,955176
encode_slice_bench,base64,3,8801173.0,1074573
encode_slice_bench,base64,3,9847503.0,1193970
encode_slice_bench,base64,3,10878905.0,1313367
encode_slice_bench,base64,3,11731334.0,1432764
encode_slice_bench,base64,3,12796474.0,1552161
encode_slice_bench,base64,3,13756651.0,1671558
encode_slice_bench,base64,3,14725462.0,1790955
encode_slice_bench,base64,3,15800588.0,1910352
encode_slice_bench,base64,3,16763276.0,2029749
encode_slice_bench,base64,3,17718857.0,2149146
encode_slice_bench,base64,3,18642038.0,2268543
encode_slice_bench,base64,3,19654954.0,2387940
encode_slice_bench,base64,3,20632659.0,2507337
encode_slice_bench,base64,3,21736074.0,2626734
encode_slice_bench,base64,3,23930461.0,2746131
encode_slice_bench,base64,3,23815786.0,2865528
encode_slice_bench,base64,3,24817797.0,2984925
encode_slice_bench,base64,3,25808074.0,3104322
encode_slice_bench,base64,3,26526613.0,3223719
encode_slice_bench,base64,3,27447182.0,3343116
encode_slice_bench,base64,3,28437225.0,3462513
encode_slice_bench,base64,3,29517632.0,3581910
encode_slice_bench,base64,3,30391142.0,3701307
encode_slice_bench,base64,3,31462969.0,3820704
encode_slice_bench,base64,3,32401164.0,3940101
encode_slice_bench,base64,3,33455394.0,4059498
encode_slice_bench,base64,3,34480063.0,4178895
encode_slice_bench,base64,3,35491942.0,4298292
encode_slice_bench,base64,3,36376793.0,4417689
encode_slice_bench,base64,3,37350920.0,4537086
encode_slice_bench,base64,3,38354901.0,4656483
encode_slice_bench,base64,3,39329581.0,4775880
encode_slice_bench,base64,3,40343825.0,4895277
encode_slice_bench,base64,3,41254243.0,5014674
encode_slice_bench,base64,3,42287004.0,5134071
encode_slice_bench,base64,3,43231481.0,5253468
encode_slice_bench,base64,3,44223732.0,5372865
encode_slice_bench,base64,3,45332468.0,5492262
encode_slice_bench,base64,3,46167724.0,5611659
encode_slice_bench,base64,3,47223594.0,5731056
encode_slice_bench,base64,3,48125544.0,5850453
encode_slice_bench,base64,3,49946689.0,5969850
encode_slice_bench,base64,3,51690164.0,6089247
encode_slice_bench,base64,3,51113307.0,6208644
encode_slice_bench,base64,3,52241991.0,6328041
encode_slice_bench,base64,3,53146795.0,6447438
encode_slice_bench,base64,3,54167047.0,6566835
encode_slice_bench,base64,3,55152767.0,6686232
encode_slice_bench,base64,3,56011312.0,6805629
encode_slice_bench,base64,3,56973706.0,6925026
encode_slice_bench,base64,3,57933239.0,7044423
encode_slice_bench,base64,3,59030399.0,7163820
encode_slice_bench,base64,3,60105898.0,7283217
encode_slice_bench,base64,3,60827300.0,7402614
encode_slice_bench,base64,3,61894396.0,7522011
encode_slice_bench,base64,3,62874411.0,7641408
encode_slice_bench,base64,3,64360955.0,7760805
encode_slice_bench,base64,3,64882488.0,7880202
encode_slice_bench,base64,3,66028290.0,7999599
encode_slice_bench,base64,3,68986970.0,8118996
encode_slice_bench,base64,3,67989026.0,8238393
encode_slice_bench,base64,3,68957674.0,8357790
encode_slice_bench,base64,3,70520268.0,8477187
encode_slice_bench,base64,3,70881532.0,8596584
encode_slice_bench,base64,3,71843360.0,8715981
encode_slice_bench,base64,3,72771195.0,8835378
encode_slice_bench,base64,3,73842130.0,8954775
encode_slice_bench,base64,3,74839480.0,9074172
encode_slice_bench,base64,3,75820095.0,9193569
encode_slice_bench,base64,3,76609440.0,9312966
encode_slice_bench,base64,3,77563888.0,9432363
encode_slice_bench,base64,3,78635858.0,9551760
encode_slice_bench,base64,3,82663861.0,9671157
encode_slice_bench,base64,3,80719902.0,9790554
encode_slice_bench,base64,3,81836086.0,9909951
encode_slice_bench,base64,3,83445083.0,10029348
encode_slice_bench,base64,3,83735594.0,10148745
encode_slice_bench,base64,3,84906551.0,10268142
encode_slice_bench,base64,3,85846596.0,10387539
encode_slice_bench,base64,3,86943675.0,10506936
encode_slice_bench,base64,3,87726552.0,10626333
encode_slice_bench,base64,3,88659937.0,10745730
encode_slice_bench,base64,3,89872975.0,10865127
encode_slice_bench,base64,3,91181401.0,10984524
encode_slice_bench,base64,3,93953358.0,11103921
encode_slice_bench,base64,3,92305368.0,11223318
encode_slice_bench,base64,3,93396140.0,11342715
encode_slice_bench,base64,3,94313409.0,11462112
encode_slice_bench,base64,3,95232381.0,11581509
encode_slice_bench,base64,3,96286834.0,11700906
encode_slice_bench,base64,3,97082796.0,11820303
encode_slice_bench,base64,3,98541849.0,11939700
