group,function,value,sample_time_nanos,iteration_count
encode_slice_bench,radix64,64,979328.0,27909
encode_slice_bench,radix64,64,1945617.0,55818
encode_slice_bench,radix64,64,2939468.0,83727
encode_slice_bench,radix64,64,3859674.0,111636
encode_slice_bench,radix64,64,4880981.0,139545
encode_slice_bench,radix64,64,6029952.0,167454
encode_slice_bench,radix64,64,6920737.0,195363
encode_slice_bench,radix64,64,7871585.0,223272
encode_slice_bench,radix64,64,8905493.0,251181
encode_slice_bench,radix64,64,9898924.0,279090
encode_slice_bench,radix64,64,10753574.0,306999
encode_slice_bench,radix64,64,11858885.0,334908
encode_slice_bench,radix64,64,12864516.0,362817
encode_slice_bench,radix64,64,13730217.0,390726
encode_slice_bench,radix64,64,14624470.0,418635
encode_slice_bench,radix64,64,15818227.0,446544
encode_slice_bench,radix64,64,17237027.0,474453
encode_slice_bench,radix64,64,17559758.0,502362
encode_slice_bench,radix64,64,18611566.0,530271
encode_slice_bench,radix64,64,19541577.0,558180
encode_slice_bench,radix64,64,21939576.0,586089
encode_slice_bench,radix64,64,22152671.0,613998
encode_slice_bench,radix64,64,22511206.0,641907
encode_slice_bench,radix64,64,23947897.0,669816
encode_slice_bench,radix64,64,24825831.0,697725
encode_slice_bench,radix64,64,25499548.0,725634
encode_slice_bench,radix64,64,26611028.0,753543
encode_slice_bench,radix64,64,29235793.0,781452
encode_slice_bench,radix64,64,28986998.0,809361
encode_slice_bench,radix64,64,29861732.0,837270
encode_slice_bench,radix64,64,30812889.0,865179
encode_slice_bench,radix64,64,31974694.0,893088
encode_slice_bench,radix64,64,32721273.0,920997
encode_slice_bench,radix64,64,33971248.0,948906
encode_slice_bench,radix64,64,34884145.0,976815
encode_slice_bench,radix64,64,36741002.0,1004724
encode_slice_bench,radix64,64,37273450.0,1032633
encode_slice_bench,radix64,64,37911889.0,1060542
encode_slice_bench,radix64,64,39096929.0,1088451
encode_slice_bench,radix64,64,41267081.0,1116360
encode_slice_bench,radix64,64,41216165.0,1144269
encode_slice_bench,radix64,64,42268651.0,1172178
encode_slice_bench,radix64,64,42836495.0,1200087
encode_slice_bench,radix64,64,44205901.0,1227996
encode_slice_bench,radix64,64,45172062.0,1255905
encode_slice_bench,radix64,64,45634063.0,1283814
encode_slice_bench,radix64,64,47032813.0,1311723
encode_slice_bench,radix64,64,48416830.0,1339632
encode_slice_bench,radix64,64,50306260.0,1367541
encode_slice_bench,radix64,64,49533905.0,1395450
encode_slice_bench,radix64,64,50230274.0,1423359
encode_slice_bench,radix64,64,51008554.0,1451268
encode_slice_bench,radix64,64,51710283.0,1479177
encode_slice_bench,radix64,64,52906159.0,1507086
encode_slice_bench,radix64,64,53895424.0,1534995
encode_slice_bench,radix64,64,54725297.0,1562904
encode_slice_bench,radix64,64,56713460.0,1590813
encode_slice_bench,radix64,64,56785001.0,1618722
encode_slice_bench,radix64,64,57815217.0,1646631
encode_slice_bench,radix64,64,58634021.0,1674540
encode_slice_bench,radix64,64,59823186.0,1702449
encode_slice_bench,radix64,64,60585521.0,1730358
encode_slice_bench,radix64,64,61542747.0,1758267
encode_slice_bench,radix64,64,62486173.0,1786176
encode_slice_bench,radix64,64,64351411.0,1814085
encode_slice_bench,radix64,64,65684271.0,1841994
encode_slice_bench,radix64,64,68494033.0,1869903
encode_slice_bench,radix64,64,66448708.0,1897812
encode_slice_bench,radix64,64,67235193.0,1925721
encode_slice_bench,radix64,64,68291785.0,1953630
encode_slice_bench,radix64,64,69393012.0,1981539
encode_slice_bench,radix64,64,70351227.0,2009448
encode_slice_bench,radix64,64,71975402.0,2037357
encode_slice_bench,radix64,64,72244270.0,2065266
encode_slice_bench,radix64,64,73200183.0,2093175
encode_slice_bench,radix64,64,74230816.0,2121084
encode_slice_bench,radix64,64,75283063.0,2148993
encode_slice_bench,radix64,64,76179189.0,2176902
encode_slice_bench,radix64,64,77317424.0,2204811
encode_slice_bench,radix64,64,78761099.0,2232720
encode_slice_bench,radix64,64,80077819.0,2260629
encode_slice_bench,radix64,64,80126912.0,2288538
encode_slice_bench,radix64,64,81133795.0,2316447
encode_slice_bench,radix64,64,81933358.0,2344356
encode_slice_bench,radix64,64,83060573.0,2372265
encode_slice_bench,radix64,64,84678026.0,2400174
encode_slice_bench,radix64,64,84947520.0,2428083
encode_slice_bench,radix64,64,87486106.0,2455992
encode_slice_bench,radix64,64,88226068.0,2483901
encode_slice_bench,radix64,64,88674143.0,2511810
encode_slice_bench,radix64,64,90009383.0,2539719
encode_slice_bench,radix64,64,94110203.0,2567628
encode_slice_bench,radix64,64,90908359.0,2595537
encode_slice_bench,radix64,64,91880982.0,2623446
encode_slice_bench,radix64,64,102939200.0,2651355
encode_slice_bench,radix64,64,94300334.0,2679264
encode_slice_bench,radix64,64,95494604.0,2707173
encode_slice_bench,radix64,64,95648461.0,2735082
encode_slice_bench,radix64,64,96568171.0,2762991
encode_slice_bench,radix64,64,97446804.0,2790900
