group,function,value,sample_time_nanos,iteration_count
encode_with_buffer_bench,base64,128,1320199.0,11317
encode_with_buffer_bench,base64,128,2006660.0,22634
encode_with_buffer_bench,base64,128,2952190.0,33951
encode_with_buffer_bench,base64,128,3943610.0,45268
encode_with_buffer_bench,base64,128,4915523.0,56585
encode_with_buffer_bench,base64,128,5848876.0,67902
encode_with_buffer_bench,base64,128,6904902.0,79219
encode_with_buffer_bench,base64,128,7802336.0,90536
encode_with_buffer_bench,base64,128,8845935.0,101853
encode_with_buffer_bench,base64,128,10113536.0,113170
encode_with_buffer_bench,base64,128,10815326.0,124487
encode_with_buffer_bench,base64,128,11808630.0,135804
encode_with_buffer_bench,base64,128,12801168.0,147121
encode_with_buffer_bench,base64,128,13679522.0,158438
encode_with_buffer_bench,base64,128,14660509.0,169755
encode_with_buffer_bench,base64,128,15597671.0,181072
encode_with_buffer_bench,base64,128,16639267.0,192389
encode_with_buffer_bench,base64,128,17745331.0,203706
encode_with_buffer_bench,base64,128,18670716.0,215023
encode_with_buffer_bench,base64,128,19666740.0,226340
encode_with_buffer_bench,base64,128,20747408.0,237657
encode_with_buffer_bench,base64,128,21608313.0,248974
encode_with_buffer_bench,base64,128,22759373.0,260291
encode_with_buffer_bench,base64,128,23596766.0,271608
encode_with_buffer_bench,base64,128,24519605.0,282925
encode_with_buffer_bench,base64,128,25590690.0,294242
encode_with_buffer_bench,base64,128,26512322.0,305559
encode_with_buffer_bench,base64,128,27808872.0,316876
encode_with_buffer_bench,base64,128,28595256.0,328193
encode_with_buffer_bench,base64,128,29583910.0,339510
encode_with_buffer_bench,base64,128,30441955.0,350827
encode_with_buffer_bench,base64,128,31466137.0,362144
encode_with_buffer_bench,base64,128,32444389.0,373461
encode_with_buffer_bench,base64,128,33338178.0,384778
encode_with_buffer_bench,base64,128,36288941.0,396095
encode_with_buffer_bench,base64,128,35578001.0,407412
encode_with_buffer_bench,base64,128,36453196.0,418729
encode_with_buffer_bench,base64,128,39318549.0,430046
encode_with_buffer_bench,base64,128,38492192.0,441363
encode_with_buffer_bench,base64,128,39968823.0,452680
encode_with_buffer_bench,base64,128,40497699.0,463997
encode_with_buffer_bench,base64,128,41811277.0,475314
encode_with_buffer_bench,base64,128,42552869.0,486631
encode_with_buffer_bench,base64,128,43406090.0,497948
encode_with_buffer_bench,base64,128,44386633.0,509265
encode_with_buffer_bench,base64,128,45930651.0,520582
encode_with_buffer_bench,base64,128,46782137.0,531899
encode_with_buffer_bench,base64,128,47394985.0,543216
encode_with_buffer_bench,base64,128,48423021.0,554533
encode_with_buffer_bench,base64,128,49379641.0,565850
encode_with_buffer_bench,base64,128,50481460.0,577167
encode_with_buffer_bench,base64,128,51211430.0,588484
encode_with_buffer_bench,base64,128,52291137.0,599801
encode_with_buffer_bench,base64,128,53363722.0,611118
encode_with_buffer_bench,base64,128,54355417.0,622435
encode_with_buffer_bench,base64,128,55202127.0,633752
encode_with_buffer_bench,base64,128,57298975.0,645069
encode_with_buffer_bench,base64,128,57201894.0,656386
encode_with_buffer_bench,base64,128,58240825.0,667703
encode_with_buffer_bench,base64,128,59095876.0,679020
encode_with_buffer_bench,base64,128,59981204.0,690337
encode_with_buffer_bench,base64,128,60995498.0,701654
encode_with_buffer_bench,base64,128,62292039.0,712971
encode_with_buffer_bench,base64,128,63253259.0,724288
encode_with_buffer_bench,base64,128,64195136.0,735605
encode_with_buffer_bench,base64,128,65024526.0,746922
encode_with_buffer_bench,base64,128,65938889.0,758239
encode_with_buffer_bench,base64,128,67080047.0,769556
encode_with_buffer_bench,base64,128,67958084.0,780873
encode_with_buffer_bench,base64,128,68928396.0,792190
encode_with_buffer_bench,base64,128,69813605.0,803507
encode_with_buffer_bench,base64,128,71053639.0,814824
encode_with_buffer_bench,base64,128,73075338.0,826141
encode_with_buffer_bench,base64,128,72892835.0,837458
encode_with_buffer_bench,base64,128,73964111.0,848775
encode_with_buffer_bench,base64,128,74762089.0,860092
encode_with_buffer_bench,base64,128,76085240.0,871409
encode_with_buffer_bench,base64,128,76986504.0,882726
encode_with_buffer_bench,base64,128,77832146.0,894043
encode_with_buffer_bench,base64,128,78680496.0,905360
encode_with_buffer_bench,base64,128,79844958.0,916677
encode_with_buffer_bench,base64,128,80509214.0,927994
encode_with_buffer_bench,base64,128,82100236.0,939311
encode_with_buffer_bench,base64,128,82772412.0,950628
encode_with_buffer_bench,base64,128,84728237.0,961945
encode_with_buffer_bench,base64,128,84874474.0,973262
encode_with_buffer_bench,base64,128,86670342.0,984579
encode_with_buffer_bench,base64,128,87173629.0,995896
encode_with_buffer_bench,base64,128,87789108.0,1007213
encode_with_buffer_bench,base64,128,88520919.0,1018530
encode_with_buffer_bench,base64,128,89779846.0,1029847
encode_with_buffer_bench,base64,128,90860124.0,1041164
encode_with_buffer_bench,base64,128,92354864.0,1052481
encode_with_buffer_bench,base64,128,93271105.0,1063798
encode_with_buffer_bench,base64,128,93833796.0,1075115
encode_with_buffer_bench,base64,128,94525434.0,1086432
encode_with_buffer_bench,base64,128,98167489.0,1097749
encode_with_buffer_bench,base64,128,96684986.0,1109066
encode_with_buffer_bench,base64,128,97758941.0,1120383
encode_with_buffer_bench,base64,128,98936470.0,1131700
