group,function,value,sample_time_nanos,iteration_count
encode_with_buffer_bench,radix64,3,978551.0,151627
encode_with_buffer_bench,radix64,3,1962674.0,303254
encode_with_buffer_bench,radix64,3,2907641.0,454881
encode_with_buffer_bench,radix64,3,3896713.0,606508
encode_with_buffer_bench,radix64,3,4857418.0,758135
encode_with_buffer_bench,radix64,3,5857264.0,909762
encode_with_buffer_bench,radix64,3,6782413.0,1061389
encode_with_buffer_bench,radix64,3,7775988.0,1213016
encode_with_buffer_bench,radix64,3,8743424.0,1364643
encode_with_buffer_bench,radix64,3,9782684.0,1516270
encode_with_buffer_bench,radix64,3,10675230.0,1667897
encode_with_buffer_bench,radix64,3,11684590.0,1819524
encode_with_buffer_bench,radix64,3,12582912.0,1971151
encode_with_buffer_bench,radix64,3,13591352.0,2122778
encode_with_buffer_bench,radix64,3,14566486.0,2274405
encode_with_buffer_bench,radix64,3,15523827.0,2426032
encode_with_buffer_bench,radix64,3,16530972.0,2577659
encode_with_buffer_bench,radix64,3,17451532.0,2729286
encode_with_buffer_bench,radix64,3,18450302.0,2880913
encode_with_buffer_bench,radix64,3,19416571.0,3032540
encode_with_buffer_bench,radix64,3,20517305.0,3184167
encode_with_buffer_bench,radix64,3,21380222.0,3335794
encode_with_buffer_bench,radix64,3,22957109.0,3487421
encode_with_buffer_bench,radix64,3,23503941.0,3639048
encode_with_buffer_bench,radix64,3,24303698.0,3790675
encode_with_buffer_bench,radix64,3,25310662.0,3942302
encode_with_buffer_bench,radix64,3,26161609.0,4093929
encode_with_buffer_bench,radix64,3,27192353.0,4245556
encode_with_buffer_bench,radix64,3,28258491.0,4397183
encode_with_buffer_bench,radix64,3,29136273.0,4548810
encode_with_buffer_bench,radix64,3,30038365.0,4700437
encode_with_buffer_bench,radix64,3,31069958.0,4852064
encode_with_buffer_bench,radix64,3,32007080.0,5003691
encode_with_buffer_bench,radix64,3,33013911.0,5155318
encode_with_buffer_bench,radix64,3,34099798.0,5306945
encode_with_buffer_bench,radix64,3,34878203.0,5458572
encode_with_buffer_bench,radix64,3,35925333.0,5610199
encode_with_buffer_bench,radix64,3,36927367.0,5761826
encode_with_buffer_bench,radix64,3,37882427.0,5913453
encode_with_buffer_bench,radix64,3,38845200.0,6065080
encode_with_buffer_bench,radix64,3,42549566.0,6216707
encode_with_buffer_bench,radix64,3,40704895.0,6368334
encode_with_buffer_bench,radix64,3,41746014.0,6519961
encode_with_buffer_bench,radix64,3,42782100.0,6671588
encode_with_buffer_bench,radix64,3,43787409.0,6823215
encode_with_buffer_bench,radix64,3,44809724.0,6974842
encode_with_buffer_bench,radix64,3,45616115.0,7126469
encode_with_buffer_bench,radix64,3,46676946.0,7278096
encode_with_buffer_bench,radix64,3,48083900.0,7429723
encode_with_buffer_bench,radix64,3,48670686.0,7581350
encode_with_buffer_bench,radix64,3,50500376.0,7732977
encode_with_buffer_bench,radix64,3,50532068.0,7884604
encode_with_buffer_bench,radix64,3,51638571.0,8036231
encode_with_buffer_bench,radix64,3,52543167.0,8187858
encode_with_buffer_bench,radix64,3,53682183.0,8339485
encode_with_buffer_bench,radix64,3,54304461.0,8491112
encode_with_buffer_bench,radix64,3,55421801.0,8642739
encode_with_buffer_bench,radix64,3,56260010.0,8794366
encode_with_buffer_bench,radix64,3,57374604.0,8945993
encode_with_buffer_bench,radix64,3,58286979.0,9097620
encode_with_buffer_bench,radix64,3,59341275.0,9249247
encode_with_buffer_bench,radix64,3,63300624.0,9400874
encode_with_buffer_bench,radix64,3,61330906.0,9552501
encode_with_buffer_bench,radix64,3,62356228.0,9704128
encode_with_buffer_bench,radix64,3,64305495.0,9855755
encode_with_buffer_bench,radix64,3,64211200.0,10007382
encode_with_buffer_bench,radix64,3,65391169.0,10159009
encode_with_buffer_bench,radix64,3,68610157.0,10310636
encode_with_buffer_bench,radix64,3,67123045.0,10462263
encode_with_buffer_bench,radix64,3,67819395.0,10613890
encode_with_buffer_bench,radix64,3,68963747.0,10765517
encode_with_buffer_bench,radix64,3,70126941.0,10917144
encode_with_buffer_bench,radix64,3,71013262.0,11068771
encode_with_buffer_bench,radix64,3,72159421.0,11220398
encode_with_buffer_bench,radix64,3,72984843.0,11372025
encode_with_buffer_bench,radix64,3,74213185.0,11523652
encode_with_buffer_bench,radix64,3,75346086.0,11675279
encode_with_buffer_bench,radix64,3,75986215.0,11826906
encode_with_buffer_bench,radix64,3,77298091.0,11978533
encode_with_buffer_bench,radix64,3,77716565.0,12130160
encode_with_buffer_bench,radix64,3,78777434.0,12281787
encode_with_buffer_bench,radix64,3,80698022.0,12433414
encode_with_buffer_bench,radix64,3,80821263.0,12585041
encode_with_buffer_bench,radix64,3,81513229.0,12736668
encode_with_buffer_bench,radix64,3,82572113.0,12888295
encode_with_buffer_bench,radix64,3,83668783.0,13039922
encode_with_buffer_bench,radix64,3,84506244.0,13191549
encode_with_buffer_bench,radix64,3,92229703.0,13343176
encode_with_buffer_bench,radix64,3,88854931.0,13494803
encode_with_buffer_bench,radix64,3,93959690.0,13646430
encode_with_buffer_bench,radix64,3,88341258.0,13798057
encode_with_buffer_bench,radix64,3,89623394.0,13949684
