group,function,value,sample_time_nanos,iteration_count
encode_with_buffer_bench,radix64,64,984826.0,27300
encode_with_buffer_bench,radix64,64,1973301.0,54600
encode_with_buffer_bench,radix64,64,2950115.0,81900
encode_with_buffer_bench,radix64,64,3933208.0,109200
encode_with_buffer_bench,radix64,64,4923066.0,136500
encode_with_buffer_bench,radix64,64,5894228.0,163800
encode_with_buffer_bench,radix64,64,6911326.0,191100
encode_with_buffer_bench,radix64,64,7891669.0,218400
encode_with_buffer_bench,radix64,64,8904330.0,245700
encode_with_buffer_bench,radix64,64,9843359.0,273000
encode_with_buffer_bench,radix64,64,10824180.0,300300
encode_with_buffer_bench,radix64,64,11820952.0,327600
encode_with_buffer_bench,radix64,64,12781029.0,354900
encode_with_buffer_bench,radix64,64,13839419.0,382200
encode_with_buffer_bench,radix64,64,14744523.0,409500
encode_with_buffer_bench,radix64,64,15716032.0,436800
encode_with_buffer_bench,radix64,64,16753455.0,464100
encode_with_buffer_bench,radix64,64,17765457.0,491400
encode_with_buffer_bench,radix64,64,18735631.0,518700
encode_with_buffer_bench,radix64,64,19660796.0,546000
encode_with_buffer_bench,radix64,64,20747399.0,573300
encode_with_buffer_bench,radix64,64,21706302.0,600600
encode_with_buffer_bench,radix64,64,22662050.0,627900
encode_with_buffer_bench,radix64,64,23743949.0,655200
encode_with_buffer_bench,radix64,64,24506698.0,682500
encode_with_buffer_bench,radix64,64,26195521.0,709800
encode_with_buffer_bench,radix64,64,26715997.0,737100
encode_with_buffer_bench,radix64,64,27672713.0,764400
encode_with_buffer_bench,radix64,64,28522480.0,791700
encode_with_buffer_bench,radix64,64,29585355.0,819000
encode_with_buffer_bench,radix64,64,31197607.0,846300
encode_with_buffer_bench,radix64,64,31584325.0,873600
encode_with_buffer_bench,radix64,64,32574363.0,900900
encode_with_buffer_bench,radix64,64,33469298.0,928200
encode_with_buffer_bench,radix64,64,37602219.0,955500
encode_with_buffer_bench,radix64,64,35623948.0,982800
encode_with_buffer_bench,radix64,64,36509665.0,1010100
encode_with_buffer_bench,radix64,64,37462870.0,1037400
encode_with_buffer_bench,radix64,64,38482339.0,1064700
encode_with_buffer_bench,radix64,64,39489880.0,1092000
encode_with_buffer_bench,radix64,64,40430731.0,1119300
encode_with_buffer_bench,radix64,64,41548397.0,1146600
encode_with_buffer_bench,radix64,64,42527036.0,1173900
encode_with_buffer_bench,radix64,64,43445595.0,1201200
encode_with_buffer_bench,radix64,64,44439910.0,1228500
encode_with_buffer_bench,radix64,64,45418106.0,1255800
encode_with_buffer_bench,radix64,64,46390019.0,1283100
encode_with_buffer_bench,radix64,64,47458524.0,1310400
encode_with_buffer_bench,radix64,64,48520315.0,1337700
encode_with_buffer_bench,radix64,64,49220434.0,1365000
encode_with_buffer_bench,radix64,64,50311312.0,1392300
encode_with_buffer_bench,radix64,64,51271749.0,1419600
encode_with_buffer_bench,radix64,64,52196422.0,1446900
encode_with_buffer_bench,radix64,64,53240610.0,1474200
encode_with_buffer_bench,radix64,64,54353779.0,1501500
encode_with_buffer_bench,radix64,64,55347518.0,1528800
encode_with_buffer_bench,radix64,64,57357822.0,1556100
encode_with_buffer_bench,radix64,64,57454780.0,1583400
encode_with_buffer_bench,radix64,64,58262306.0,1610700
encode_with_buffer_bench,radix64,64,59315107.0,1638000
encode_with_buffer_bench,radix64,64,60336339.0,1665300
encode_with_buffer_bench,radix64,64,61180713.0,1692600
encode_with_buffer_bench,radix64,64,62264596.0,1719900
encode_with_buffer_bench,radix64,64,63276142.0,1747200
encode_with_buffer_bench,radix64,64,64195501.0,1774500
encode_with_buffer_bench,radix64,64,65242862.0,1801800
encode_with_buffer_bench,radix64,64,66405567.0,1829100
encode_with_buffer_bench,radix64,64,67256313.0,1856400
encode_with_buffer_bench,radix64,64,68183053.0,1883700
encode_with_buffer_bench,radix64,64,69097832.0,1911000
encode_with_buffer_bench,radix64,64,70193348.0,1938300
encode_with_buffer_bench,radix64,64,71092301.0,1965600
encode_with_buffer_bench,radix64,64,73375220.0,1992900
encode_with_buffer_bench,radix64,64,73136542.0,2020200
encode_with_buffer_bench,radix64,64,74167717.0,2047500
encode_with_buffer_bench,radix64,64,75040348.0,2074800
encode_with_buffer_bench,radix64,64,75921996.0,2102100
encode_with_buffer_bench,radix64,64,76999693.0,2129400
encode_with_buffer_bench,radix64,64,78032500.0,2156700
encode_with_buffer_bench,radix64,64,79066417.0,2184000
encode_with_buffer_bench,radix64,64,79896409.0,2211300
encode_with_buffer_bench,radix64,64,81100077.0,2238600
encode_with_buffer_bench,radix64,64,82011284.0,2265900
encode_with_buffer_bench,radix64,64,82866258.0,2293200
encode_with_buffer_bench,radix64,64,84710699.0,2320500
encode_with_buffer_bench,radix64,64,85377630.0,2347800
encode_with_buffer_bench,radix64,64,86386751.0,2375100
encode_with_buffer_bench,radix64,64,86959155.0,2402400
encode_with_buffer_bench,radix64,64,87941993.0,2429700
encode_with_buffer_bench,radix64,64,89200405.0,2457000
encode_with_buffer_bench,radix64,64,89600709.0,2484300
encode_with_buffer_bench,radix64,64,90762262.0,2511600
encode_with_buffer_bench,radix64,64,91882767.0,2538900
encode_with_buffer_bench,radix64,64,93333093.0,2566200
encode_with_buffer_bench,radix64,64,93996459.0,2593500
encode_with_buffer_bench,radix64,64,94852194.0,2620800
encode_with_buffer_bench,radix64,64,100935024.0,2648100
encode_with_buffer_bench,radix64,64,96758557.0,2675400
encode_with_buffer_bench,radix64,64,97671361.0,2702700
encode_with_buffer_bench,radix64,64,98498292.0,2730000
