group,function,value,sample_time_nanos,iteration_count
decode_slice_bench,radix64,512,962110.0,13207
decode_slice_bench,radix64,512,1923639.0,26414
decode_slice_bench,radix64,512,2896151.0,39621
decode_slice_bench,radix64,512,3847943.0,52828
decode_slice_bench,radix64,512,4924932.0,66035
decode_slice_bench,radix64,512,6042454.0,79242
decode_slice_bench,radix64,512,7040215.0,92449
decode_slice_bench,radix64,512,7947900.0,105656
decode_slice_bench,radix64,512,9133780.0,118863
decode_slice_bench,radix64,512,9908302.0,132070
decode_slice_bench,radix64,512,10913543.0,145277
decode_slice_bench,radix64,512,11877213.0,158484
decode_slice_bench,radix64,512,12751877.0,171691
decode_slice_bench,radix64,512,13881402.0,184898
decode_slice_bench,radix64,512,14716717.0,198105
decode_slice_bench,radix64,512,16051583.0,211312
decode_slice_bench,radix64,512,17200421.0,224519
decode_slice_bench,radix64,512,17911576.0,237726
decode_slice_bench,radix64,512,19046455.0,250933
decode_slice_bench,radix64,512,19947141.0,264140
decode_slice_bench,radix64,512,21164400.0,277347
decode_slice_bench,radix64,512,21676379.0,290554
decode_slice_bench,radix64,512,23014834.0,303761
decode_slice_bench,radix64,512,23878706.0,316968
decode_slice_bench,radix64,512,24591675.0,330175
decode_slice_bench,radix64,512,25867820.0,343382
decode_slice_bench,radix64,512,26818918.0,356589
decode_slice_bench,radix64,512,27729738.0,369796
decode_slice_bench,radix64,512,29771382.0,383003
decode_slice_bench,radix64,512,32587749.0,396210
decode_slice_bench,radix64,512,30359966.0,409417
decode_slice_bench,radix64,512,31397041.0,422624
decode_slice_bench,radix64,512,32904515.0,435831
decode_slice_bench,radix64,512,33284493.0,449038
decode_slice_bench,radix64,512,34396268.0,462245
decode_slice_bench,radix64,512,35106103.0,475452
decode_slice_bench,radix64,512,36238008.0,488659
decode_slice_bench,radix64,512,37285147.0,501866
decode_slice_bench,radix64,512,38431642.0,515073
decode_slice_bench,radix64,512,39329755.0,528280
decode_slice_bench,radix64,512,39985770.0,541487
decode_slice_bench,radix64,512,43057611.0,554694
decode_slice_bench,radix64,512,43336537.0,567901
decode_slice_bench,radix64,512,43925887.0,581108
decode_slice_bench,radix64,512,45080761.0,594315
decode_slice_bench,radix64,512,45792772.0,607522
decode_slice_bench,radix64,512,47413817.0,620729
decode_slice_bench,radix64,512,47656966.0,633936
decode_slice_bench,radix64,512,49199475.0,647143
decode_slice_bench,radix64,512,50037542.0,660350
decode_slice_bench,radix64,512,50859012.0,673557
decode_slice_bench,radix64,512,53014543.0,686764
decode_slice_bench,radix64,512,52189006.0,699971
decode_slice_bench,radix64,512,53000993.0,713178
decode_slice_bench,radix64,512,54188166.0,726385
decode_slice_bench,radix64,512,55055643.0,739592
decode_slice_bench,radix64,512,56027891.0,752799
decode_slice_bench,radix64,512,56598994.0,766006
decode_slice_bench,radix64,512,57870226.0,779213
decode_slice_bench,radix64,512,59150640.0,792420
decode_slice_bench,radix64,512,59909221.0,805627
decode_slice_bench,radix64,512,63566233.0,818834
decode_slice_bench,radix64,512,62831338.0,832041
decode_slice_bench,radix64,512,63767436.0,845248
decode_slice_bench,radix64,512,64721672.0,858455
decode_slice_bench,radix64,512,65183272.0,871662
decode_slice_bench,radix64,512,66318889.0,884869
decode_slice_bench,radix64,512,67117061.0,898076
decode_slice_bench,radix64,512,68194057.0,911283
decode_slice_bench,radix64,512,69188146.0,924490
decode_slice_bench,radix64,512,70329162.0,937697
decode_slice_bench,radix64,512,70849755.0,950904
decode_slice_bench,radix64,512,72068608.0,964111
decode_slice_bench,radix64,512,72571820.0,977318
decode_slice_bench,radix64,512,73271820.0,990525
decode_slice_bench,radix64,512,76702238.0,1003732
decode_slice_bench,radix64,512,76805206.0,1016939
decode_slice_bench,radix64,512,77722060.0,1030146
decode_slice_bench,radix64,512,78070916.0,1043353
decode_slice_bench,radix64,512,79779738.0,1056560
decode_slice_bench,radix64,512,80318009.0,1069767
decode_slice_bench,radix64,512,81152493.0,1082974
decode_slice_bench,radix64,512,82516086.0,1096181
decode_slice_bench,radix64,512,83409946.0,1109388
decode_slice_bench,radix64,512,85111917.0,1122595
decode_slice_bench,radix64,512,85523182.0,1135802
decode_slice_bench,radix64,512,86189129.0,1149009
decode_slice_bench,radix64,512,88710629.0,1162216
decode_slice_bench,radix64,512,89900401.0,1175423
decode_slice_bench,radix64,512,89034090.0,1188630
decode_slice_bench,radix64,512,90533949.0,1201837
decode_slice_bench,radix64,512,91850566.0,1215044
decode_slice_bench,radix64,512,92768179.0,1228251
decode_slice_bench,radix64,512,93139062.0,1241458
decode_slice_bench,radix64,512,95261537.0,1254665
decode_slice_bench,radix64,512,95833878.0,1267872
decode_slice_bench,radix64,512,95047061.0,1281079
decode_slice_bench,radix64,512,95990388.0,1294286
decode_slice_bench,radix64,512,100233955.0,1307493
decode_slice_bench,radix64,512,98440199.0,1320700
