group,function,value,sample_time_nanos,iteration_count
decode_with_buffer_bench,base64,3,1220987.0,36141
decode_with_buffer_bench,base64,3,2020749.0,72282
decode_with_buffer_bench,base64,3,2955440.0,108423
decode_with_buffer_bench,base64,3,3925634.0,144564
decode_with_buffer_bench,base64,3,4971284.0,180705
decode_with_buffer_bench,base64,3,5906406.0,216846
decode_with_buffer_bench,base64,3,6850634.0,252987
decode_with_buffer_bench,base64,3,7874309.0,289128
decode_with_buffer_bench,base64,3,8877350.0,325269
decode_with_buffer_bench,base64,3,9906539.0,361410
decode_with_buffer_bench,base64,3,10933366.0,397551
decode_with_buffer_bench,base64,3,11830639.0,433692
decode_with_buffer_bench,base64,3,12810685.0,469833
decode_with_buffer_bench,base64,3,13902080.0,505974
decode_with_buffer_bench,base64,3,14753163.0,542115
decode_with_buffer_bench,base64,3,15735671.0,578256
decode_with_buffer_bench,base64,3,16801998.0,614397
decode_with_buffer_bench,base64,3,17812388.0,650538
decode_with_buffer_bench,base64,3,18834181.0,686679
decode_with_buffer_bench,base64,3,19722774.0,722820
decode_with_buffer_bench,base64,3,20795670.0,758961
decode_with_buffer_bench,base64,3,21801844.0,795102
decode_with_buffer_bench,base64,3,22671954.0,831243
decode_with_buffer_bench,base64,3,23654373.0,867384
decode_with_buffer_bench,base64,3,24624887.0,903525
decode_with_buffer_bench,base64,3,25642003.0,939666
decode_with_buffer_bench,base64,3,26482365.0,975807
decode_with_buffer_bench,base64,3,27512310.0,1011948
decode_with_buffer_bench,base64,3,28548922.0,1048089
decode_with_buffer_bench,base64,3,29567408.0,1084230
decode_with_buffer_bench,base64,3,30577888.0,1120371
decode_with_buffer_bench,base64,3,31476972.0,1156512
decode_with_buffer_bench,base64,3,32779255.0,1192653
decode_with_buffer_bench,base64,3,33767842.0,1228794
decode_with_buffer_bench,base64,3,34459812.0,1264935
decode_with_buffer_bench,base64,3,35517559.0,1301076
decode_with_buffer_bench,base64,3,36343371.0,1337217
decode_with_buffer_bench,base64,3,37503803.0,1373358
decode_with_buffer_bench,base64,3,38482002.0,1409499
decode_with_buffer_bench,base64,3,41239226.0,1445640
decode_with_buffer_bench,base64,3,40407972.0,1481781
decode_with_buffer_bench,base64,3,41892077.0,1517922
decode_with_buffer_bench,base64,3,42442492.0,1554063
decode_with_buffer_bench,base64,3,43511278.0,1590204
decode_with_buffer_bench,base64,3,44493196.0,1626345
decode_with_buffer_bench,base64,3,45632780.0,1662486
decode_with_buffer_bench,base64,3,46400463.0,1698627
decode_with_buffer_bench,base64,3,47376404.0,1734768
decode_with_buffer_bench,base64,3,48584785.0,1770909
decode_with_buffer_bench,base64,3,49211343.0,1807050
decode_with_buffer_bench,base64,3,50141110.0,1843191
decode_with_buffer_bench,base64,3,51330453.0,1879332
decode_with_buffer_bench,base64,3,52038798.0,1915473
decode_with_buffer_bench,base64,3,53473452.0,1951614
decode_with_buffer_bench,base64,3,54171992.0,1987755
decode_with_buffer_bench,base64,3,55117708.0,2023896
decode_with_buffer_bench,base64,3,56121743.0,2060037
decode_with_buffer_bench,base64,3,57455858.0,2096178
decode_with_buffer_bench,base64,3,58088757.0,2132319
decode_with_buffer_bench,base64,3,60200963.0,2168460
decode_with_buffer_bench,base64,3,60726031.0,2204601
decode_with_buffer_bench,base64,3,61215248.0,2240742
decode_with_buffer_bench,base64,3,62166627.0,2276883
decode_with_buffer_bench,base64,3,63331138.0,2313024
decode_with_buffer_bench,base64,3,64186601.0,2349165
decode_with_buffer_bench,base64,3,65080070.0,2385306
decode_with_buffer_bench,base64,3,65867282.0,2421447
decode_with_buffer_bench,base64,3,67189145.0,2457588
decode_with_buffer_bench,base64,3,67928763.0,2493729
decode_with_buffer_bench,base64,3,69037950.0,2529870
decode_with_buffer_bench,base64,3,70011288.0,2566011
decode_with_buffer_bench,base64,3,70923216.0,2602152
decode_with_buffer_bench,base64,3,71975459.0,2638293
decode_with_buffer_bench,base64,3,73094908.0,2674434
decode_with_buffer_bench,base64,3,75385742.0,2710575
decode_with_buffer_bench,base64,3,75149683.0,2746716
decode_with_buffer_bench,base64,3,76235539.0,2782857
decode_with_buffer_bench,base64,3,77201131.0,2818998
decode_with_buffer_bench,base64,3,77695797.0,2855139
decode_with_buffer_bench,base64,3,78964437.0,2891280
decode_with_buffer_bench,base64,3,79829489.0,2927421
decode_with_buffer_bench,base64,3,80758709.0,2963562
decode_with_buffer_bench,base64,3,81807120.0,2999703
decode_with_buffer_bench,base64,3,82704881.0,3035844
decode_with_buffer_bench,base64,3,83656957.0,3071985
decode_with_buffer_bench,base64,3,84655868.0,3108126
decode_with_buffer_bench,base64,3,86726959.0,3144267
decode_with_buffer_bench,base64,3,87165251.0,3180408
decode_with_buffer_bench,base64,3,87801066.0,3216549
decode_with_buffer_bench,base64,3,88769393.0,3252690
decode_with_buffer_bench,base64,3,89889347.0,3288831
decode_with_buffer_bench,base64,3,90693776.0,3324972
decode_with_buffer_bench,base64,3,92209926.0,3361113
decode_with_buffer_bench,base64,3,92565885.0,3397254
decode_with_buffer_bench,base64,3,93914611.0,3433395
decode_with_buffer_bench,base64,3,94828493.0,3469536
decode_with_buffer_bench,base64,3,96452356.0,3505677
decode_with_buffer_bench,base64,3,102369582.0,3541818
decode_with_buffer_bench,base64,3,102219721.0,3577959
decode_with_buffer_bench,base64,3,98260583.0,3614100
