group,function,value,sample_time_nanos,iteration_count
decode_with_buffer_bench,radix64,32,1004435.0,47537
decode_with_buffer_bench,radix64,32,1950563.0,95074
decode_with_buffer_bench,radix64,32,2899818.0,142611
decode_with_buffer_bench,radix64,32,3950674.0,190148
decode_with_buffer_bench,radix64,32,4885450.0,237685
decode_with_buffer_bench,radix64,32,5818030.0,285222
decode_with_buffer_bench,radix64,32,6810836.0,332759
decode_with_buffer_bench,radix64,32,7806596.0,380296
decode_with_buffer_bench,radix64,32,8783425.0,427833
decode_with_buffer_bench,radix64,32,9805101.0,475370
decode_with_buffer_bench,radix64,32,10721817.0,522907
decode_with_buffer_bench,radix64,32,11668656.0,570444
decode_with_buffer_bench,radix64,32,12931974.0,617981
decode_with_buffer_bench,radix64,32,13671554.0,665518
decode_with_buffer_bench,radix64,32,14602945.0,713055
decode_with_buffer_bench,radix64,32,15617878.0,760592
decode_with_buffer_bench,radix64,32,16650152.0,808129
decode_with_buffer_bench,radix64,32,17588521.0,855666
decode_with_buffer_bench,radix64,32,18624939.0,903203
decode_with_buffer_bench,radix64,32,19508889.0,950740
decode_with_buffer_bench,radix64,32,20437826.0,998277
decode_with_buffer_bench,radix64,32,21489655.0,1045814
decode_with_buffer_bench,radix64,32,22474886.0,1093351
decode_with_buffer_bench,radix64,32,23336084.0,1140888
decode_with_buffer_bench,radix64,32,24357119.0,1188425
decode_with_buffer_bench,radix64,32,25297592.0,1235962
decode_with_buffer_bench,radix64,32,26262167.0,1283499
decode_with_buffer_bench,radix64,32,27336467.0,1331036
decode_with_buffer_bench,radix64,32,28396528.0,1378573
decode_with_buffer_bench,radix64,32,29361647.0,1426110
decode_with_buffer_bench,radix64,32,30264009.0,1473647
decode_with_buffer_bench,radix64,32,31258144.0,1521184
decode_with_buffer_bench,radix64,32,32261909.0,1568721
decode_with_buffer_bench,radix64,32,33192786.0,1616258
decode_with_buffer_bench,radix64,32,34072476.0,1663795
decode_with_buffer_bench,radix64,32,35169697.0,1711332
decode_with_buffer_bench,radix64,32,36057203.0,1758869
decode_with_buffer_bench,radix64,32,36985372.0,1806406
decode_with_buffer_bench,radix64,32,37965582.0,1853943
decode_with_buffer_bench,radix64,32,38806315.0,1901480
decode_with_buffer_bench,radix64,32,45240712.0,1949017
decode_with_buffer_bench,radix64,32,41574040.0,1996554
decode_with_buffer_bench,radix64,32,42167623.0,2044091
decode_with_buffer_bench,radix64,32,42974999.0,2091628
decode_with_buffer_bench,radix64,32,43835399.0,2139165
decode_with_buffer_bench,radix64,32,54817608.0,2186702
decode_with_buffer_bench,radix64,32,45689482.0,2234239
decode_with_buffer_bench,radix64,32,47071090.0,2281776
decode_with_buffer_bench,radix64,32,48106969.0,2329313
decode_with_buffer_bench,radix64,32,49303858.0,2376850
decode_with_buffer_bench,radix64,32,53870670.0,2424387
decode_with_buffer_bench,radix64,32,57432252.0,2471924
decode_with_buffer_bench,radix64,32,51559159.0,2519461
decode_with_buffer_bench,radix64,32,52725149.0,2566998
decode_with_buffer_bench,radix64,32,54515682.0,2614535
decode_with_buffer_bench,radix64,32,56343804.0,2662072
decode_with_buffer_bench,radix64,32,61715625.0,2709609
decode_with_buffer_bench,radix64,32,57397715.0,2757146
decode_with_buffer_bench,radix64,32,57648887.0,2804683
decode_with_buffer_bench,radix64,32,58359618.0,2852220
decode_with_buffer_bench,radix64,32,62741270.0,2899757
decode_with_buffer_bench,radix64,32,60581563.0,2947294
decode_with_buffer_bench,radix64,32,61965965.0,2994831
decode_with_buffer_bench,radix64,32,62300589.0,3042368
decode_with_buffer_bench,radix64,32,64166318.0,3089905
decode_with_buffer_bench,radix64,32,64512454.0,3137442
decode_with_buffer_bench,radix64,32,65419118.0,3184979
decode_with_buffer_bench,radix64,32,67304577.0,3232516
decode_with_buffer_bench,radix64,32,67647100.0,3280053
decode_with_buffer_bench,radix64,32,68328583.0,3327590
decode_with_buffer_bench,radix64,32,70335801.0,3375127
decode_with_buffer_bench,radix64,32,70625965.0,3422664
decode_with_buffer_bench,radix64,32,71043101.0,3470201
decode_with_buffer_bench,radix64,32,72873210.0,3517738
decode_with_buffer_bench,radix64,32,74091036.0,3565275
decode_with_buffer_bench,radix64,32,76395468.0,3612812
decode_with_buffer_bench,radix64,32,75150595.0,3660349
decode_with_buffer_bench,radix64,32,76735640.0,3707886
decode_with_buffer_bench,radix64,32,79551170.0,3755423
decode_with_buffer_bench,radix64,32,79255759.0,3802960
decode_with_buffer_bench,radix64,32,78942731.0,3850497
decode_with_buffer_bench,radix64,32,80781481.0,3898034
decode_with_buffer_bench,radix64,32,81422912.0,3945571
decode_with_buffer_bench,radix64,32,81876115.0,3993108
decode_with_buffer_bench,radix64,32,82608165.0,4040645
decode_with_buffer_bench,radix64,32,83892329.0,4088182
decode_with_buffer_bench,radix64,32,84733777.0,4135719
decode_with_buffer_bench,radix64,32,87632942.0,4183256
decode_with_buffer_bench,radix64,32,87434880.0,4230793
decode_with_buffer_bench,radix64,32,87867787.0,4278330
decode_with_buffer_bench,radix64,32,88972020.0,4325867
decode_with_buffer_bench,radix64,32,89952819.0,4373404
decode_with_buffer_bench,radix64,32,91175053.0,4420941
decode_with_buffer_bench,radix64,32,92227435.0,4468478
decode_with_buffer_bench,radix64,32,92516557.0,4516015
decode_with_buffer_bench,radix64,32,95165437.0,4563552
decode_with_buffer_bench,radix64,32,98894608.0,4611089
decode_with_buffer_bench,radix64,32,95776683.0,4658626
decode_with_buffer_bench,radix64,32,99008145.0,4706163
decode_with_buffer_bench,radix64,32,97524172.0,4753700
