group,function,value,sample_time_nanos,iteration_count
decode_with_buffer_bench,radix64,4096,962390.0,2080
decode_with_buffer_bench,radix64,4096,1923283.0,4160
decode_with_buffer_bench,radix64,4096,2952807.0,6240
decode_with_buffer_bench,radix64,4096,3975873.0,8320
decode_with_buffer_bench,radix64,4096,4980949.0,10400
decode_with_buffer_bench,radix64,4096,5957903.0,12480
decode_with_buffer_bench,radix64,4096,6872491.0,14560
decode_with_buffer_bench,radix64,4096,7960264.0,16640
decode_with_buffer_bench,radix64,4096,8723114.0,18720
decode_with_buffer_bench,radix64,4096,9883402.0,20800
decode_with_buffer_bench,radix64,4096,10905705.0,22880
decode_with_buffer_bench,radix64,4096,12760941.0,24960
decode_with_buffer_bench,radix64,4096,12956263.0,27040
decode_with_buffer_bench,radix64,4096,13929382.0,29120
decode_with_buffer_bench,radix64,4096,14901725.0,31200
decode_with_buffer_bench,radix64,4096,15749867.0,33280
decode_with_buffer_bench,radix64,4096,16922416.0,35360
decode_with_buffer_bench,radix64,4096,17716253.0,37440
decode_with_buffer_bench,radix64,4096,19069926.0,39520
decode_with_buffer_bench,radix64,4096,19677764.0,41600
decode_with_buffer_bench,radix64,4096,20695614.0,43680
decode_with_buffer_bench,radix64,4096,21597762.0,45760
decode_with_buffer_bench,radix64,4096,22642012.0,47840
decode_with_buffer_bench,radix64,4096,23616662.0,49920
decode_with_buffer_bench,radix64,4096,24724651.0,52000
decode_with_buffer_bench,radix64,4096,25450622.0,54080
decode_with_buffer_bench,radix64,4096,26755487.0,56160
decode_with_buffer_bench,radix64,4096,27674777.0,58240
decode_with_buffer_bench,radix64,4096,28668136.0,60320
decode_with_buffer_bench,radix64,4096,29516248.0,62400
decode_with_buffer_bench,radix64,4096,30727208.0,64480
decode_with_buffer_bench,radix64,4096,31562711.0,66560
decode_with_buffer_bench,radix64,4096,32416385.0,68640
decode_with_buffer_bench,radix64,4096,33621174.0,70720
decode_with_buffer_bench,radix64,4096,34556636.0,72800
decode_with_buffer_bench,radix64,4096,35249247.0,74880
decode_with_buffer_bench,radix64,4096,36435380.0,76960
decode_with_buffer_bench,radix64,4096,37006422.0,79040
decode_with_buffer_bench,radix64,4096,38103665.0,81120
decode_with_buffer_bench,radix64,4096,39595983.0,83200
decode_with_buffer_bench,radix64,4096,40134096.0,85280
decode_with_buffer_bench,radix64,4096,41400904.0,87360
decode_with_buffer_bench,radix64,4096,42102789.0,89440
decode_with_buffer_bench,radix64,4096,43325645.0,91520
decode_with_buffer_bench,radix64,4096,44088235.0,93600
decode_with_buffer_bench,radix64,4096,45388082.0,95680
decode_with_buffer_bench,radix64,4096,48697999.0,97760
decode_with_buffer_bench,radix64,4096,47145682.0,99840
decode_with_buffer_bench,radix64,4096,48405186.0,101920
