group,function,value,sample_time_nanos,iteration_count
encode_bench,radix64,512,981691.0,8221
encode_bench,radix64,512,1967567.0,16442
encode_bench,radix64,512,2956767.0,24663
encode_bench,radix64,512,3924028.0,32884
encode_bench,radix64,512,4862467.0,41105
encode_bench,radix64,512,5848341.0,49326
encode_bench,radix64,512,6855754.0,57547
encode_bench,radix64,512,7901866.0,65768
encode_bench,radix64,512,8867129.0,73989
encode_bench,radix64,512,9904947.0,82210
encode_bench,radix64,512,10845964.0,90431
encode_bench,radix64,512,11809791.0,98652
encode_bench,radix64,512,12840050.0,106873
encode_bench,radix64,512,13796305.0,115094
encode_bench,radix64,512,16545090.0,123315
encode_bench,radix64,512,15773511.0,131536
encode_bench,radix64,512,16984661.0,139757
encode_bench,radix64,512,17888095.0,147978
encode_bench,radix64,512,19020831.0,156199
encode_bench,radix64,512,19882785.0,164420
encode_bench,radix64,512,20752048.0,172641
encode_bench,radix64,512,21779965.0,180862
encode_bench,radix64,512,22806543.0,189083
encode_bench,radix64,512,23782512.0,197304
encode_bench,radix64,512,24479649.0,205525
encode_bench,radix64,512,26174546.0,213746
encode_bench,radix64,512,26436508.0,221967
encode_bench,radix64,512,27276363.0,230188
encode_bench,radix64,512,28510028.0,238409
encode_bench,radix64,512,29250026.0,246630
encode_bench,radix64,512,30379833.0,254851
encode_bench,radix64,512,31293076.0,263072
encode_bench,radix64,512,32425636.0,271293
encode_bench,radix64,512,33400480.0,279514
encode_bench,radix64,512,34080187.0,287735
encode_bench,radix64,512,35337645.0,295956
encode_bench,radix64,512,36395062.0,304177
encode_bench,radix64,512,37351604.0,312398
encode_bench,radix64,512,38093785.0,320619
encode_bench,radix64,512,39252136.0,328840
encode_bench,radix64,512,40180059.0,337061
encode_bench,radix64,512,41173576.0,345282
encode_bench,radix64,512,44159682.0,353503
encode_bench,radix64,512,46917969.0,361724
encode_bench,radix64,512,44094896.0,369945
encode_bench,radix64,512,44944498.0,378166
encode_bench,radix64,512,46056904.0,386387
encode_bench,radix64,512,47090526.0,394608
encode_bench,radix64,512,47881576.0,402829
encode_bench,radix64,512,49037092.0,411050
encode_bench,radix64,512,49826208.0,419271
encode_bench,radix64,512,50749608.0,427492
encode_bench,radix64,512,51965848.0,435713
encode_bench,radix64,512,52655181.0,443934
encode_bench,radix64,512,53843840.0,452155
encode_bench,radix64,512,55244724.0,460376
encode_bench,radix64,512,55832701.0,468597
encode_bench,radix64,512,56766834.0,476818
encode_bench,radix64,512,57711866.0,485039
encode_bench,radix64,512,58763501.0,493260
encode_bench,radix64,512,59559042.0,501481
encode_bench,radix64,512,62211511.0,509702
encode_bench,radix64,512,62099007.0,517923
encode_bench,radix64,512,62503429.0,526144
encode_bench,radix64,512,63939153.0,534365
encode_bench,radix64,512,64956635.0,542586
encode_bench,radix64,512,65711991.0,550807
encode_bench,radix64,512,67130001.0,559028
encode_bench,radix64,512,67721197.0,567249
encode_bench,radix64,512,68665331.0,575470
encode_bench,radix64,512,69704022.0,583691
encode_bench,radix64,512,70381420.0,591912
encode_bench,radix64,512,71636140.0,600133
encode_bench,radix64,512,73448718.0,608354
encode_bench,radix64,512,73828423.0,616575
encode_bench,radix64,512,74324613.0,624796
encode_bench,radix64,512,77936713.0,633017
encode_bench,radix64,512,76527826.0,641238
encode_bench,radix64,512,77905776.0,649459
encode_bench,radix64,512,79420120.0,657680
encode_bench,radix64,512,80270424.0,665901
encode_bench,radix64,512,80672672.0,674122
encode_bench,radix64,512,81686534.0,682343
encode_bench,radix64,512,82601439.0,690564
encode_bench,radix64,512,83215071.0,698785
encode_bench,radix64,512,84879886.0,707006
encode_bench,radix64,512,85027782.0,715227
encode_bench,radix64,512,86221973.0,723448
encode_bench,radix64,512,91019704.0,731669
encode_bench,radix64,512,88480216.0,739890
encode_bench,radix64,512,89231899.0,748111
encode_bench,radix64,512,90268832.0,756332
encode_bench,radix64,512,91227873.0,764553
encode_bench,radix64,512,91975300.0,772774
encode_bench,radix64,512,93026519.0,780995
encode_bench,radix64,512,93846634.0,789216
encode_bench,radix64,512,94759043.0,797437
encode_bench,radix64,512,95908110.0,805658
encode_bench,radix64,512,112065461.0,813879
encode_bench,radix64,512,103806935.0,822100
