group,function,value,sample_time_nanos,iteration_count
encode_bench,radix64,64,973735.0,17158
encode_bench,radix64,64,1956019.0,34316
encode_bench,radix64,64,2958215.0,51474
encode_bench,radix64,64,3927057.0,68632
encode_bench,radix64,64,4903488.0,85790
encode_bench,radix64,64,5977358.0,102948
encode_bench,radix64,64,6937242.0,120106
encode_bench,radix64,64,7774732.0,137264
encode_bench,radix64,64,8839967.0,154422
encode_bench,radix64,64,9860701.0,171580
encode_bench,radix64,64,10786061.0,188738
encode_bench,radix64,64,11903511.0,205896
encode_bench,radix64,64,12646061.0,223054
encode_bench,radix64,64,13731860.0,240212
encode_bench,radix64,64,14779801.0,257370
encode_bench,radix64,64,15674619.0,274528
encode_bench,radix64,64,16693821.0,291686
encode_bench,radix64,64,17614266.0,308844
encode_bench,radix64,64,18632131.0,326002
encode_bench,radix64,64,19620592.0,343160
encode_bench,radix64,64,20865918.0,360318
encode_bench,radix64,64,22020769.0,377476
encode_bench,radix64,64,22964055.0,394634
encode_bench,radix64,64,24012640.0,411792
encode_bench,radix64,64,24828837.0,428950
encode_bench,radix64,64,25493437.0,446108
encode_bench,radix64,64,26382545.0,463266
encode_bench,radix64,64,27545689.0,480424
encode_bench,radix64,64,28386622.0,497582
encode_bench,radix64,64,29863261.0,514740
encode_bench,radix64,64,30474642.0,531898
encode_bench,radix64,64,31583215.0,549056
encode_bench,radix64,64,32529286.0,566214
encode_bench,radix64,64,33552685.0,583372
encode_bench,radix64,64,34282204.0,600530
encode_bench,radix64,64,35289707.0,617688
encode_bench,radix64,64,36376583.0,634846
encode_bench,radix64,64,37342982.0,652004
encode_bench,radix64,64,38513255.0,669162
encode_bench,radix64,64,39528352.0,686320
encode_bench,radix64,64,41517567.0,703478
encode_bench,radix64,64,42118772.0,720636
encode_bench,radix64,64,42899255.0,737794
encode_bench,radix64,64,43450193.0,754952
encode_bench,radix64,64,44786181.0,772110
encode_bench,radix64,64,45147069.0,789268
encode_bench,radix64,64,46192188.0,806426
encode_bench,radix64,64,47088755.0,823584
encode_bench,radix64,64,47988760.0,840742
encode_bench,radix64,64,49197323.0,857900
encode_bench,radix64,64,49974749.0,875058
encode_bench,radix64,64,53205856.0,892216
encode_bench,radix64,64,52496612.0,909374
encode_bench,radix64,64,53242142.0,926532
encode_bench,radix64,64,54364999.0,943690
encode_bench,radix64,64,56009663.0,960848
encode_bench,radix64,64,55798297.0,978006
encode_bench,radix64,64,57302482.0,995164
encode_bench,radix64,64,58478012.0,1012322
encode_bench,radix64,64,59537859.0,1029480
encode_bench,radix64,64,63808922.0,1046638
encode_bench,radix64,64,60630372.0,1063796
encode_bench,radix64,64,62063808.0,1080954
encode_bench,radix64,64,63082216.0,1098112
encode_bench,radix64,64,64221488.0,1115270
encode_bench,radix64,64,64981916.0,1132428
encode_bench,radix64,64,66317237.0,1149586
encode_bench,radix64,64,66917956.0,1166744
encode_bench,radix64,64,67859253.0,1183902
encode_bench,radix64,64,68813622.0,1201060
encode_bench,radix64,64,69638282.0,1218218
encode_bench,radix64,64,70575302.0,1235376
encode_bench,radix64,64,71874116.0,1252534
encode_bench,radix64,64,72637252.0,1269692
encode_bench,radix64,64,73920569.0,1286850
encode_bench,radix64,64,76209000.0,1304008
encode_bench,radix64,64,77023549.0,1321166
encode_bench,radix64,64,78691460.0,1338324
encode_bench,radix64,64,80001272.0,1355482
encode_bench,radix64,64,81124020.0,1372640
encode_bench,radix64,64,80101554.0,1389798
encode_bench,radix64,64,81368484.0,1406956
encode_bench,radix64,64,82669439.0,1424114
encode_bench,radix64,64,82863406.0,1441272
encode_bench,radix64,64,84038965.0,1458430
encode_bench,radix64,64,85927051.0,1475588
encode_bench,radix64,64,87198064.0,1492746
encode_bench,radix64,64,89034647.0,1509904
encode_bench,radix64,64,88795774.0,1527062
encode_bench,radix64,64,88643904.0,1544220
encode_bench,radix64,64,89465176.0,1561378
encode_bench,radix64,64,90723801.0,1578536
encode_bench,radix64,64,91725119.0,1595694
encode_bench,radix64,64,92667114.0,1612852
encode_bench,radix64,64,93477791.0,1630010
encode_bench,radix64,64,94606765.0,1647168
encode_bench,radix64,64,95272624.0,1664326
encode_bench,radix64,64,96605783.0,1681484
encode_bench,radix64,64,99267886.0,1698642
encode_bench,radix64,64,97975973.0,1715800
