group,function,value,sample_time_nanos,iteration_count
encode_slice_bench,base64,8192,1350371.0,292
encode_slice_bench,base64,8192,1962739.0,584
encode_slice_bench,base64,8192,2958657.0,876
encode_slice_bench,base64,8192,3935343.0,1168
encode_slice_bench,base64,8192,4948701.0,1460
encode_slice_bench,base64,8192,5933525.0,1752
encode_slice_bench,base64,8192,6886269.0,2044
encode_slice_bench,base64,8192,7883699.0,2336
encode_slice_bench,base64,8192,8847210.0,2628
encode_slice_bench,base64,8192,9878097.0,2920
encode_slice_bench,base64,8192,10856682.0,3212
encode_slice_bench,base64,8192,11918648.0,3504
encode_slice_bench,base64,8192,12789951.0,3796
encode_slice_bench,base64,8192,13748737.0,4088
encode_slice_bench,base64,8192,14818421.0,4380
encode_slice_bench,base64,8192,15734317.0,4672
encode_slice_bench,base64,8192,16779856.0,4964
encode_slice_bench,base64,8192,17752003.0,5256
encode_slice_bench,base64,8192,18967244.0,5548
encode_slice_bench,base64,8192,19696964.0,5840
encode_slice_bench,base64,8192,20742956.0,6132
encode_slice_bench,base64,8192,21640734.0,6424
encode_slice_bench,base64,8192,22704544.0,6716
encode_slice_bench,base64,8192,23966783.0,7008
encode_slice_bench,base64,8192,24720014.0,7300
encode_slice_bench,base64,8192,25571687.0,7592
encode_slice_bench,base64,8192,26630133.0,7884
encode_slice_bench,base64,8192,27636128.0,8176
encode_slice_bench,base64,8192,28675656.0,8468
encode_slice_bench,base64,8192,29538095.0,8760
encode_slice_bench,base64,8192,30588828.0,9052
encode_slice_bench,base64,8192,31598285.0,9344
encode_slice_bench,base64,8192,32555967.0,9636
encode_slice_bench,base64,8192,33712675.0,9928
encode_slice_bench,base64,8192,34495751.0,10220
encode_slice_bench,base64,8192,35420287.0,10512
encode_slice_bench,base64,8192,36539084.0,10804
encode_slice_bench,base64,8192,37388365.0,11096
encode_slice_bench,base64,8192,38412700.0,11388
encode_slice_bench,base64,8192,39403642.0,11680
encode_slice_bench,base64,8192,43078299.0,11972
encode_slice_bench,base64,8192,41435831.0,12264
encode_slice_bench,base64,8192,42380434.0,12556
encode_slice_bench,base64,8192,43369235.0,12848
encode_slice_bench,base64,8192,44249231.0,13140
encode_slice_bench,base64,8192,45222334.0,13432
encode_slice_bench,base64,8192,46318768.0,13724
encode_slice_bench,base64,8192,47363391.0,14016
encode_slice_bench,base64,8192,48243237.0,14308
encode_slice_bench,base64,8192,49275909.0,14600
encode_slice_bench,base64,8192,50316646.0,14892
encode_slice_bench,base64,8192,51127771.0,15184
encode_slice_bench,base64,8192,52192267.0,15476
encode_slice_bench,base64,8192,53154124.0,15768
encode_slice_bench,base64,8192,54282438.0,16060
encode_slice_bench,base64,8192,55433696.0,16352
encode_slice_bench,base64,8192,56348973.0,16644
encode_slice_bench,base64,8192,57289637.0,16936
encode_slice_bench,base64,8192,58297886.0,17228
encode_slice_bench,base64,8192,59157561.0,17520
encode_slice_bench,base64,8192,63938087.0,17812
encode_slice_bench,base64,8192,61680169.0,18104
encode_slice_bench,base64,8192,62178600.0,18396
encode_slice_bench,base64,8192,63056842.0,18688
encode_slice_bench,base64,8192,64334476.0,18980
encode_slice_bench,base64,8192,65106831.0,19272
encode_slice_bench,base64,8192,66093019.0,19564
encode_slice_bench,base64,8192,67183335.0,19856
encode_slice_bench,base64,8192,68197607.0,20148
encode_slice_bench,base64,8192,69072083.0,20440
encode_slice_bench,base64,8192,70076697.0,20732
encode_slice_bench,base64,8192,71355779.0,21024
encode_slice_bench,base64,8192,72162264.0,21316
encode_slice_bench,base64,8192,73376407.0,21608
encode_slice_bench,base64,8192,75480049.0,21900
encode_slice_bench,base64,8192,76340802.0,22192
encode_slice_bench,base64,8192,76266354.0,22484
encode_slice_bench,base64,8192,76767396.0,22776
encode_slice_bench,base64,8192,77821140.0,23068
encode_slice_bench,base64,8192,78959150.0,23360
encode_slice_bench,base64,8192,79905411.0,23652
encode_slice_bench,base64,8192,80756128.0,23944
encode_slice_bench,base64,8192,82053101.0,24236
encode_slice_bench,base64,8192,82856742.0,24528
encode_slice_bench,base64,8192,83781259.0,24820
encode_slice_bench,base64,8192,84771434.0,25112
encode_slice_bench,base64,8192,85671991.0,25404
encode_slice_bench,base64,8192,88424672.0,25696
encode_slice_bench,base64,8192,88197356.0,25988
encode_slice_bench,base64,8192,88944926.0,26280
encode_slice_bench,base64,8192,89890245.0,26572
encode_slice_bench,base64,8192,91390723.0,26864
encode_slice_bench,base64,8192,91612600.0,27156
encode_slice_bench,base64,8192,93317158.0,27448
encode_slice_bench,base64,8192,93778967.0,27740
encode_slice_bench,base64,8192,94856310.0,28032
encode_slice_bench,base64,8192,96192780.0,28324
encode_slice_bench,base64,8192,97032966.0,28616
encode_slice_bench,base64,8192,99849945.0,28908
encode_slice_bench,base64,8192,98961224.0,29200
