group,function,value,sample_time_nanos,iteration_count
encode_slice_bench,radix64,32,975194.0,69408
encode_slice_bench,radix64,32,1959213.0,138816
encode_slice_bench,radix64,32,2951084.0,208224
encode_slice_bench,radix64,32,3885959.0,277632
encode_slice_bench,radix64,32,5223570.0,347040
encode_slice_bench,radix64,32,5946617.0,416448
encode_slice_bench,radix64,32,7055600.0,485856
encode_slice_bench,radix64,32,7799636.0,555264
encode_slice_bench,radix64,32,8991222.0,624672
encode_slice_bench,radix64,32,9758271.0,694080
encode_slice_bench,radix64,32,10967056.0,763488
encode_slice_bench,radix64,32,11737819.0,832896
encode_slice_bench,radix64,32,12701209.0,902304
encode_slice_bench,radix64,32,13839856.0,971712
encode_slice_bench,radix64,32,14880167.0,1041120
encode_slice_bench,radix64,32,16049232.0,1110528
encode_slice_bench,radix64,32,16707138.0,1179936
encode_slice_bench,radix64,32,17822070.0,1249344
encode_slice_bench,radix64,32,18709548.0,1318752
encode_slice_bench,radix64,32,19815881.0,1388160
encode_slice_bench,radix64,32,20791943.0,1457568
encode_slice_bench,radix64,32,21779156.0,1526976
encode_slice_bench,radix64,32,22729781.0,1596384
encode_slice_bench,radix64,32,23723349.0,1665792
encode_slice_bench,radix64,32,24631870.0,1735200
encode_slice_bench,radix64,32,25590067.0,1804608
encode_slice_bench,radix64,32,26603524.0,1874016
encode_slice_bench,radix64,32,27976131.0,1943424
encode_slice_bench,radix64,32,28660133.0,2012832
encode_slice_bench,radix64,32,29641975.0,2082240
encode_slice_bench,radix64,32,30573011.0,2151648
encode_slice_bench,radix64,32,31789092.0,2221056
encode_slice_bench,radix64,32,32447477.0,2290464
encode_slice_bench,radix64,32,33424790.0,2359872
encode_slice_bench,radix64,32,34660403.0,2429280
encode_slice_bench,radix64,32,35421777.0,2498688
encode_slice_bench,radix64,32,38133964.0,2568096
encode_slice_bench,radix64,32,37345612.0,2637504
encode_slice_bench,radix64,32,38740806.0,2706912
encode_slice_bench,radix64,32,39154134.0,2776320
encode_slice_bench,radix64,32,40327959.0,2845728
encode_slice_bench,radix64,32,41399398.0,2915136
encode_slice_bench,radix64,32,42217207.0,2984544
encode_slice_bench,radix64,32,43180321.0,3053952
encode_slice_bench,radix64,32,44381039.0,3123360
encode_slice_bench,radix64,32,45488928.0,3192768
encode_slice_bench,radix64,32,46445947.0,3262176
encode_slice_bench,radix64,32,47499078.0,3331584
encode_slice_bench,radix64,32,48319220.0,3400992
encode_slice_bench,radix64,32,49578109.0,3470400
encode_slice_bench,radix64,32,50553522.0,3539808
encode_slice_bench,radix64,32,51681245.0,3609216
encode_slice_bench,radix64,32,52372003.0,3678624
encode_slice_bench,radix64,32,53255723.0,3748032
encode_slice_bench,radix64,32,55108746.0,3817440
encode_slice_bench,radix64,32,55741959.0,3886848
encode_slice_bench,radix64,32,56567431.0,3956256
encode_slice_bench,radix64,32,58399857.0,4025664
encode_slice_bench,radix64,32,58025263.0,4095072
encode_slice_bench,radix64,32,58808174.0,4164480
encode_slice_bench,radix64,32,59972869.0,4233888
encode_slice_bench,radix64,32,60886701.0,4303296
encode_slice_bench,radix64,32,61965503.0,4372704
encode_slice_bench,radix64,32,62868933.0,4442112
encode_slice_bench,radix64,32,63894783.0,4511520
encode_slice_bench,radix64,32,64952367.0,4580928
encode_slice_bench,radix64,32,65655764.0,4650336
encode_slice_bench,radix64,32,66843790.0,4719744
encode_slice_bench,radix64,32,67810477.0,4789152
encode_slice_bench,radix64,32,70153850.0,4858560
encode_slice_bench,radix64,32,69804486.0,4927968
encode_slice_bench,radix64,32,70667296.0,4997376
encode_slice_bench,radix64,32,71948391.0,5066784
encode_slice_bench,radix64,32,75583056.0,5136192
encode_slice_bench,radix64,32,75292352.0,5205600
encode_slice_bench,radix64,32,75619062.0,5275008
encode_slice_bench,radix64,32,76030487.0,5344416
encode_slice_bench,radix64,32,80860961.0,5413824
encode_slice_bench,radix64,32,78668413.0,5483232
encode_slice_bench,radix64,32,80161084.0,5552640
encode_slice_bench,radix64,32,80675473.0,5622048
encode_slice_bench,radix64,32,82890977.0,5691456
encode_slice_bench,radix64,32,84351718.0,5760864
encode_slice_bench,radix64,32,83678384.0,5830272
encode_slice_bench,radix64,32,83316199.0,5899680
encode_slice_bench,radix64,32,87777552.0,5969088
encode_slice_bench,radix64,32,84931092.0,6038496
encode_slice_bench,radix64,32,86032301.0,6107904
encode_slice_bench,radix64,32,87062634.0,6177312
encode_slice_bench,radix64,32,88178285.0,6246720
encode_slice_bench,radix64,32,89383803.0,6316128
encode_slice_bench,radix64,32,90184266.0,6385536
encode_slice_bench,radix64,32,91139388.0,6454944
encode_slice_bench,radix64,32,92429633.0,6524352
encode_slice_bench,radix64,32,93272383.0,6593760
encode_slice_bench,radix64,32,94016157.0,6663168
encode_slice_bench,radix64,32,95925199.0,6732576
encode_slice_bench,radix64,32,96369080.0,6801984
encode_slice_bench,radix64,32,96669242.0,6871392
encode_slice_bench,radix64,32,97678662.0,6940800
