group,function,value,sample_time_nanos,iteration_count
encode_with_buffer_bench,base64,3,1000484.0,38786
encode_with_buffer_bench,base64,3,1997034.0,77572
encode_with_buffer_bench,base64,3,2919164.0,116358
encode_with_buffer_bench,base64,3,3938726.0,155144
encode_with_buffer_bench,base64,3,4883886.0,193930
encode_with_buffer_bench,base64,3,5797722.0,232716
encode_with_buffer_bench,base64,3,6879930.0,271502
encode_with_buffer_bench,base64,3,7800336.0,310288
encode_with_buffer_bench,base64,3,8762693.0,349074
encode_with_buffer_bench,base64,3,11553048.0,387860
encode_with_buffer_bench,base64,3,10868768.0,426646
encode_with_buffer_bench,base64,3,11693573.0,465432
encode_with_buffer_bench,base64,3,12740318.0,504218
encode_with_buffer_bench,base64,3,13774460.0,543004
encode_with_buffer_bench,base64,3,14738344.0,581790
encode_with_buffer_bench,base64,3,15710266.0,620576
encode_with_buffer_bench,base64,3,16698405.0,659362
encode_with_buffer_bench,base64,3,17577520.0,698148
encode_with_buffer_bench,base64,3,18553080.0,736934
encode_with_buffer_bench,base64,3,19509242.0,775720
encode_with_buffer_bench,base64,3,20507133.0,814506
encode_with_buffer_bench,base64,3,21680591.0,853292
encode_with_buffer_bench,base64,3,22494276.0,892078
encode_with_buffer_bench,base64,3,23381656.0,930864
encode_with_buffer_bench,base64,3,24360290.0,969650
encode_with_buffer_bench,base64,3,25498217.0,1008436
encode_with_buffer_bench,base64,3,26256124.0,1047222
encode_with_buffer_bench,base64,3,27470975.0,1086008
encode_with_buffer_bench,base64,3,28360667.0,1124794
encode_with_buffer_bench,base64,3,29417060.0,1163580
encode_with_buffer_bench,base64,3,30363882.0,1202366
encode_with_buffer_bench,base64,3,31331304.0,1241152
encode_with_buffer_bench,base64,3,32248439.0,1279938
encode_with_buffer_bench,base64,3,33327100.0,1318724
encode_with_buffer_bench,base64,3,34201780.0,1357510
encode_with_buffer_bench,base64,3,35123546.0,1396296
encode_with_buffer_bench,base64,3,36156059.0,1435082
encode_with_buffer_bench,base64,3,37309186.0,1473868
encode_with_buffer_bench,base64,3,37985286.0,1512654
encode_with_buffer_bench,base64,3,39093519.0,1551440
encode_with_buffer_bench,base64,3,40132923.0,1590226
encode_with_buffer_bench,base64,3,41003459.0,1629012
encode_with_buffer_bench,base64,3,42095022.0,1667798
encode_with_buffer_bench,base64,3,42989539.0,1706584
encode_with_buffer_bench,base64,3,44060864.0,1745370
encode_with_buffer_bench,base64,3,48110388.0,1784156
encode_with_buffer_bench,base64,3,46027913.0,1822942
encode_with_buffer_bench,base64,3,47240063.0,1861728
encode_with_buffer_bench,base64,3,47857412.0,1900514
encode_with_buffer_bench,base64,3,48834491.0,1939300
encode_with_buffer_bench,base64,3,49769579.0,1978086
encode_with_buffer_bench,base64,3,50556822.0,2016872
encode_with_buffer_bench,base64,3,51693895.0,2055658
encode_with_buffer_bench,base64,3,53347403.0,2094444
encode_with_buffer_bench,base64,3,53699378.0,2133230
encode_with_buffer_bench,base64,3,54782769.0,2172016
encode_with_buffer_bench,base64,3,55875598.0,2210802
encode_with_buffer_bench,base64,3,56741648.0,2249588
encode_with_buffer_bench,base64,3,58372300.0,2288374
encode_with_buffer_bench,base64,3,58690315.0,2327160
encode_with_buffer_bench,base64,3,59606459.0,2365946
encode_with_buffer_bench,base64,3,60695946.0,2404732
encode_with_buffer_bench,base64,3,61429686.0,2443518
encode_with_buffer_bench,base64,3,62632427.0,2482304
encode_with_buffer_bench,base64,3,65243697.0,2521090
encode_with_buffer_bench,base64,3,64897085.0,2559876
encode_with_buffer_bench,base64,3,65455554.0,2598662
encode_with_buffer_bench,base64,3,66534104.0,2637448
encode_with_buffer_bench,base64,3,67269037.0,2676234
encode_with_buffer_bench,base64,3,68376273.0,2715020
encode_with_buffer_bench,base64,3,69394838.0,2753806
encode_with_buffer_bench,base64,3,70423709.0,2792592
encode_with_buffer_bench,base64,3,71422368.0,2831378
encode_with_buffer_bench,base64,3,72423030.0,2870164
encode_with_buffer_bench,base64,3,74660630.0,2908950
encode_with_buffer_bench,base64,3,75361335.0,2947736
encode_with_buffer_bench,base64,3,75618101.0,2986522
encode_with_buffer_bench,base64,3,76587887.0,3025308
encode_with_buffer_bench,base64,3,79513148.0,3064094
encode_with_buffer_bench,base64,3,78256221.0,3102880
encode_with_buffer_bench,base64,3,79083655.0,3141666
encode_with_buffer_bench,base64,3,80437023.0,3180452
encode_with_buffer_bench,base64,3,81277777.0,3219238
encode_with_buffer_bench,base64,3,82121211.0,3258024
encode_with_buffer_bench,base64,3,93439008.0,3296810
encode_with_buffer_bench,base64,3,87586350.0,3335596
encode_with_buffer_bench,base64,3,106374866.0,3374382
encode_with_buffer_bench,base64,3,92327010.0,3413168
encode_with_buffer_bench,base64,3,87152367.0,3451954
encode_with_buffer_bench,base64,3,93274538.0,3490740
encode_with_buffer_bench,base64,3,88855683.0,3529526
encode_with_buffer_bench,base64,3,89861424.0,3568312
encode_with_buffer_bench,base64,3,90808492.0,3607098
encode_with_buffer_bench,base64,3,91610393.0,3645884
encode_with_buffer_bench,base64,3,92691854.0,3684670
encode_with_buffer_bench,base64,3,93457362.0,3723456
encode_with_buffer_bench,base64,3,94706727.0,3762242
encode_with_buffer_bench,base64,3,96766589.0,3801028
encode_with_buffer_bench,base64,3,98458976.0,3839814
encode_with_buffer_bench,base64,3,97343702.0,3878600
