group,function,value,sample_time_nanos,iteration_count
encode_with_buffer_bench,base64,512,957910.0,3713
encode_with_buffer_bench,base64,512,1933230.0,7426
encode_with_buffer_bench,base64,512,2880332.0,11139
encode_with_buffer_bench,base64,512,3883528.0,14852
encode_with_buffer_bench,base64,512,4868396.0,18565
encode_with_buffer_bench,base64,512,5777664.0,22278
encode_with_buffer_bench,base64,512,6731006.0,25991
encode_with_buffer_bench,base64,512,7654814.0,29704
encode_with_buffer_bench,base64,512,8687704.0,33417
encode_with_buffer_bench,base64,512,9836874.0,37130
encode_with_buffer_bench,base64,512,10650702.0,40843
encode_with_buffer_bench,base64,512,11604345.0,44556
encode_with_buffer_bench,base64,512,12545521.0,48269
encode_with_buffer_bench,base64,512,13611393.0,51982
encode_with_buffer_bench,base64,512,14821636.0,55695
encode_with_buffer_bench,base64,512,15514107.0,59408
encode_with_buffer_bench,base64,512,16535228.0,63121
encode_with_buffer_bench,base64,512,17294578.0,66834
encode_with_buffer_bench,base64,512,18353283.0,70547
encode_with_buffer_bench,base64,512,19202399.0,74260
encode_with_buffer_bench,base64,512,20209645.0,77973
encode_with_buffer_bench,base64,512,21202066.0,81686
encode_with_buffer_bench,base64,512,22167434.0,85399
encode_with_buffer_bench,base64,512,23054968.0,89112
encode_with_buffer_bench,base64,512,24139734.0,92825
encode_with_buffer_bench,base64,512,25157748.0,96538
encode_with_buffer_bench,base64,512,25987960.0,100251
encode_with_buffer_bench,base64,512,27046963.0,103964
encode_with_buffer_bench,base64,512,27985291.0,107677
encode_with_buffer_bench,base64,512,28944970.0,111390
encode_with_buffer_bench,base64,512,29907556.0,115103
encode_with_buffer_bench,base64,512,30869524.0,118816
encode_with_buffer_bench,base64,512,31998155.0,122529
encode_with_buffer_bench,base64,512,37931312.0,126242
encode_with_buffer_bench,base64,512,33869244.0,129955
encode_with_buffer_bench,base64,512,34661939.0,133668
encode_with_buffer_bench,base64,512,45453975.0,137381
encode_with_buffer_bench,base64,512,37073124.0,141094
encode_with_buffer_bench,base64,512,37598952.0,144807
encode_with_buffer_bench,base64,512,43915522.0,148520
encode_with_buffer_bench,base64,512,39406835.0,152233
encode_with_buffer_bench,base64,512,49994698.0,155946
encode_with_buffer_bench,base64,512,41260164.0,159659
encode_with_buffer_bench,base64,512,42335470.0,163372
encode_with_buffer_bench,base64,512,43346578.0,167085
encode_with_buffer_bench,base64,512,49627515.0,170798
encode_with_buffer_bench,base64,512,45889141.0,174511
encode_with_buffer_bench,base64,512,46149132.0,178224
encode_with_buffer_bench,base64,512,47158182.0,181937
encode_with_buffer_bench,base64,512,48026941.0,185650
encode_with_buffer_bench,base64,512,49077495.0,189363
encode_with_buffer_bench,base64,512,50083618.0,193076
encode_with_buffer_bench,base64,512,50909862.0,196789
encode_with_buffer_bench,base64,512,51899959.0,200502
encode_with_buffer_bench,base64,512,52902207.0,204215
encode_with_buffer_bench,base64,512,55781578.0,207928
encode_with_buffer_bench,base64,512,55682413.0,211641
encode_with_buffer_bench,base64,512,56306135.0,215354
encode_with_buffer_bench,base64,512,58136823.0,219067
encode_with_buffer_bench,base64,512,57845606.0,222780
encode_with_buffer_bench,base64,512,59715331.0,226493
encode_with_buffer_bench,base64,512,59756946.0,230206
encode_with_buffer_bench,base64,512,62909232.0,233919
encode_with_buffer_bench,base64,512,63634132.0,237632
encode_with_buffer_bench,base64,512,62660370.0,241345
encode_with_buffer_bench,base64,512,63291566.0,245058
encode_with_buffer_bench,base64,512,64627044.0,248771
encode_with_buffer_bench,base64,512,65389976.0,252484
encode_with_buffer_bench,base64,512,66409339.0,256197
encode_with_buffer_bench,base64,512,67346271.0,259910
encode_with_buffer_bench,base64,512,68310086.0,263623
encode_with_buffer_bench,base64,512,72228786.0,267336
encode_with_buffer_bench,base64,512,70246571.0,271049
encode_with_buffer_bench,base64,512,71265508.0,274762
encode_with_buffer_bench,base64,512,72187835.0,278475
encode_with_buffer_bench,base64,512,73020260.0,282188
encode_with_buffer_bench,base64,512,74196607.0,285901
encode_with_buffer_bench,base64,512,75833992.0,289614
encode_with_buffer_bench,base64,512,76374546.0,293327
encode_with_buffer_bench,base64,512,76973175.0,297040
encode_with_buffer_bench,base64,512,78001918.0,300753
encode_with_buffer_bench,base64,512,78739487.0,304466
encode_with_buffer_bench,base64,512,80080517.0,308179
encode_with_buffer_bench,base64,512,80846417.0,311892
encode_with_buffer_bench,base64,512,83691653.0,315605
encode_with_buffer_bench,base64,512,82981989.0,319318
encode_with_buffer_bench,base64,512,83500300.0,323031
encode_with_buffer_bench,base64,512,84729525.0,326744
encode_with_buffer_bench,base64,512,85492084.0,330457
encode_with_buffer_bench,base64,512,86794416.0,334170
encode_with_buffer_bench,base64,512,88627878.0,337883
encode_with_buffer_bench,base64,512,89430266.0,341596
encode_with_buffer_bench,base64,512,89864621.0,345309
encode_with_buffer_bench,base64,512,107756687.0,349022
encode_with_buffer_bench,base64,512,110946849.0,352735
encode_with_buffer_bench,base64,512,96467565.0,356448
encode_with_buffer_bench,base64,512,93465453.0,360161
encode_with_buffer_bench,base64,512,98931981.0,363874
encode_with_buffer_bench,base64,512,96109278.0,367587
encode_with_buffer_bench,base64,512,96178934.0,371300
