group,function,value,sample_time_nanos,iteration_count
encode_with_buffer_bench,radix64,512,998104.0,11941
encode_with_buffer_bench,radix64,512,1997178.0,23882
encode_with_buffer_bench,radix64,512,2969581.0,35823
encode_with_buffer_bench,radix64,512,3978656.0,47764
encode_with_buffer_bench,radix64,512,4946646.0,59705
encode_with_buffer_bench,radix64,512,5936905.0,71646
encode_with_buffer_bench,radix64,512,6905433.0,83587
encode_with_buffer_bench,radix64,512,7863617.0,95528
encode_with_buffer_bench,radix64,512,8839822.0,107469
encode_with_buffer_bench,radix64,512,9977953.0,119410
encode_with_buffer_bench,radix64,512,10814942.0,131351
encode_with_buffer_bench,radix64,512,11876574.0,143292
encode_with_buffer_bench,radix64,512,12818318.0,155233
encode_with_buffer_bench,radix64,512,13695567.0,167174
encode_with_buffer_bench,radix64,512,14761352.0,179115
encode_with_buffer_bench,radix64,512,15584761.0,191056
encode_with_buffer_bench,radix64,512,16576744.0,202997
encode_with_buffer_bench,radix64,512,17512338.0,214938
encode_with_buffer_bench,radix64,512,18553105.0,226879
encode_with_buffer_bench,radix64,512,19612560.0,238820
encode_with_buffer_bench,radix64,512,20667420.0,250761
encode_with_buffer_bench,radix64,512,21610163.0,262702
encode_with_buffer_bench,radix64,512,22599416.0,274643
encode_with_buffer_bench,radix64,512,23486293.0,286584
encode_with_buffer_bench,radix64,512,24563919.0,298525
encode_with_buffer_bench,radix64,512,25300057.0,310466
encode_with_buffer_bench,radix64,512,26530291.0,322407
encode_with_buffer_bench,radix64,512,27491584.0,334348
encode_with_buffer_bench,radix64,512,28626309.0,346289
encode_with_buffer_bench,radix64,512,29265568.0,358230
encode_with_buffer_bench,radix64,512,30448716.0,370171
encode_with_buffer_bench,radix64,512,31483214.0,382112
encode_with_buffer_bench,radix64,512,32462890.0,394053
encode_with_buffer_bench,radix64,512,33328800.0,405994
encode_with_buffer_bench,radix64,512,34585555.0,417935
encode_with_buffer_bench,radix64,512,35834854.0,429876
encode_with_buffer_bench,radix64,512,37451997.0,441817
encode_with_buffer_bench,radix64,512,37520909.0,453758
encode_with_buffer_bench,radix64,512,38591577.0,465699
encode_with_buffer_bench,radix64,512,39687775.0,477640
encode_with_buffer_bench,radix64,512,40576574.0,489581
encode_with_buffer_bench,radix64,512,55412069.0,501522
encode_with_buffer_bench,radix64,512,45337298.0,513463
encode_with_buffer_bench,radix64,512,43404578.0,525404
encode_with_buffer_bench,radix64,512,44555865.0,537345
encode_with_buffer_bench,radix64,512,45588153.0,549286
encode_with_buffer_bench,radix64,512,46650925.0,561227
encode_with_buffer_bench,radix64,512,47476458.0,573168
encode_with_buffer_bench,radix64,512,48328267.0,585109
encode_with_buffer_bench,radix64,512,49745912.0,597050
encode_with_buffer_bench,radix64,512,50555451.0,608991
encode_with_buffer_bench,radix64,512,51497038.0,620932
encode_with_buffer_bench,radix64,512,52770408.0,632873
encode_with_buffer_bench,radix64,512,53160435.0,644814
encode_with_buffer_bench,radix64,512,54735096.0,656755
encode_with_buffer_bench,radix64,512,55352950.0,668696
encode_with_buffer_bench,radix64,512,56758146.0,680637
encode_with_buffer_bench,radix64,512,58440017.0,692578
encode_with_buffer_bench,radix64,512,58186131.0,704519
encode_with_buffer_bench,radix64,512,59642009.0,716460
encode_with_buffer_bench,radix64,512,60601185.0,728401
encode_with_buffer_bench,radix64,512,61380846.0,740342
encode_with_buffer_bench,radix64,512,62568543.0,752283
encode_with_buffer_bench,radix64,512,63357534.0,764224
encode_with_buffer_bench,radix64,512,64182419.0,776165
encode_with_buffer_bench,radix64,512,65314275.0,788106
encode_with_buffer_bench,radix64,512,66537002.0,800047
encode_with_buffer_bench,radix64,512,67033620.0,811988
encode_with_buffer_bench,radix64,512,67905086.0,823929
encode_with_buffer_bench,radix64,512,69067916.0,835870
encode_with_buffer_bench,radix64,512,70006590.0,847811
encode_with_buffer_bench,radix64,512,71358960.0,859752
encode_with_buffer_bench,radix64,512,73121046.0,871693
encode_with_buffer_bench,radix64,512,73403746.0,883634
encode_with_buffer_bench,radix64,512,74158666.0,895575
encode_with_buffer_bench,radix64,512,75400674.0,907516
encode_with_buffer_bench,radix64,512,76316080.0,919457
encode_with_buffer_bench,radix64,512,77602191.0,931398
encode_with_buffer_bench,radix64,512,78312936.0,943339
encode_with_buffer_bench,radix64,512,78871543.0,955280
encode_with_buffer_bench,radix64,512,80495624.0,967221
encode_with_buffer_bench,radix64,512,81210711.0,979162
encode_with_buffer_bench,radix64,512,82047617.0,991103
encode_with_buffer_bench,radix64,512,83325074.0,1003044
encode_with_buffer_bench,radix64,512,84292412.0,1014985
encode_with_buffer_bench,radix64,512,85987952.0,1026926
encode_with_buffer_bench,radix64,512,86196751.0,1038867
encode_with_buffer_bench,radix64,512,87049060.0,1050808
encode_with_buffer_bench,radix64,512,88184017.0,1062749
encode_with_buffer_bench,radix64,512,88903012.0,1074690
encode_with_buffer_bench,radix64,512,90142223.0,1086631
encode_with_buffer_bench,radix64,512,90825888.0,1098572
encode_with_buffer_bench,radix64,512,91882423.0,1110513
encode_with_buffer_bench,radix64,512,93298067.0,1122454
encode_with_buffer_bench,radix64,512,94170201.0,1134395
encode_with_buffer_bench,radix64,512,95151615.0,1146336
encode_with_buffer_bench,radix64,512,98058571.0,1158277
encode_with_buffer_bench,radix64,512,98248125.0,1170218
encode_with_buffer_bench,radix64,512,97678260.0,1182159
encode_with_buffer_bench,radix64,512,98698596.0,1194100
