group,function,value,sample_time_nanos,iteration_count
encode_with_buffer_bench,radix64,8192,973492.0,830
encode_with_buffer_bench,radix64,8192,1924889.0,1660
encode_with_buffer_bench,radix64,8192,2878864.0,2490
encode_with_buffer_bench,radix64,8192,3857628.0,3320
encode_with_buffer_bench,radix64,8192,4827103.0,4150
encode_with_buffer_bench,radix64,8192,5814455.0,4980
encode_with_buffer_bench,radix64,8192,6703571.0,5810
encode_with_buffer_bench,radix64,8192,8863189.0,6640
encode_with_buffer_bench,radix64,8192,9915048.0,7470
encode_with_buffer_bench,radix64,8192,9778700.0,8300
encode_with_buffer_bench,radix64,8192,10791051.0,9130
encode_with_buffer_bench,radix64,8192,11717213.0,9960
encode_with_buffer_bench,radix64,8192,12661472.0,10790
encode_with_buffer_bench,radix64,8192,13527965.0,11620
encode_with_buffer_bench,radix64,8192,14497606.0,12450
encode_with_buffer_bench,radix64,8192,15533877.0,13280
encode_with_buffer_bench,radix64,8192,16407841.0,14110
encode_with_buffer_bench,radix64,8192,17492754.0,14940
encode_with_buffer_bench,radix64,8192,18499116.0,15770
encode_with_buffer_bench,radix64,8192,19426225.0,16600
encode_with_buffer_bench,radix64,8192,20332466.0,17430
encode_with_buffer_bench,radix64,8192,21309684.0,18260
encode_with_buffer_bench,radix64,8192,22174326.0,19090
encode_with_buffer_bench,radix64,8192,24658933.0,19920
encode_with_buffer_bench,radix64,8192,24576273.0,20750
encode_with_buffer_bench,radix64,8192,25514630.0,21580
encode_with_buffer_bench,radix64,8192,26621735.0,22410
encode_with_buffer_bench,radix64,8192,27192489.0,23240
encode_with_buffer_bench,radix64,8192,28475120.0,24070
encode_with_buffer_bench,radix64,8192,29490074.0,24900
encode_with_buffer_bench,radix64,8192,30452047.0,25730
encode_with_buffer_bench,radix64,8192,31518688.0,26560
encode_with_buffer_bench,radix64,8192,32384860.0,27390
encode_with_buffer_bench,radix64,8192,33356836.0,28220
encode_with_buffer_bench,radix64,8192,34068371.0,29050
encode_with_buffer_bench,radix64,8192,35355781.0,29880
encode_with_buffer_bench,radix64,8192,36362902.0,30710
encode_with_buffer_bench,radix64,8192,37331909.0,31540
